category	number_of_genes	p_value	fdr	description
RCTM	66	3.6e-88	1.6400000000000002e-85	HDR through Homologous Recombination (HRR) or Single Strand Annealing (SSA)
Process	162	6.45e-86	5.9499999999999996e-83	Response to stress
Process	196	2.41e-85	2.1e-82	Nitrogen compound metabolic process
PMID	63	5.64e-88	8.25e-82	(2014) DNA repair in cancer: emerging targets for personalized therapy.
Process	195	2.1e-84	1.73e-81	Cellular metabolic process
Component	187	4.54e-83	2.32e-80	Intracellular organelle lumen
Keyword	183	1.7199999999999998e-82	3.86e-80	Nucleus
NetworkNeighborAL	56	1.06e-82	6.900000000000001e-80	DNA replication, and Regulation of DNA-directed DNA polymerase activity
PMID	65	1.11e-83	1.22e-77	(2010) The DNA damage response: making it safe to play with knives.
Keyword	59	4.7700000000000003e-79	8.02e-77	DNA replication
PMID	59	1.71e-82	1.5e-76	(2019) DNA Damage Response Pathways in Dinoflagellates.
PMID	60	1.86e-82	1.5e-76	(2021) DNA folds threaten genetic stability and can be leveraged for chemotherapy.
Process	196	3.6e-79	2.82e-76	Primary metabolic process
RCTM	54	1.7400000000000002e-77	6.6e-75	HDR through Homologous Recombination (HRR)
Process	60	5.2800000000000005e-77	3.94e-74	Recombinational repair
PMID	60	8.11e-79	5.08e-73	(2014) Emergence and evolutionary analysis of the human DDR network: implications in comparative genomics and downstream analyses.
PMID	59	1.88e-78	1.03e-72	(2015) DNA repair mechanisms in cancer development and therapy.
PMID	56	3.22e-77	1.57e-71	(2013) DNA damage tolerance: a double-edged sword guarding the genome.
Process	85	2.52e-74	1.72e-71	Regulation of DNA metabolic process
Component	196	2.1500000000000003e-73	6.29e-71	Nucleus
COMPARTMENTS	151	2.4e-73	1.38e-70	Intracellular non-membrane-bounded organelle
PMID	57	5.17e-76	2.27e-70	(2019) Tissue specificity of DNA damage response and tumorigenesis.
Process	57	1.1e-72	7.17e-70	Double-strand break repair via homologous recombination
PMID	57	2.0000000000000002e-75	7.99e-70	(2017) Mechanisms of DNA damage, repair, and mutagenesis.
Function	137	3.75e-73	9.24e-70	DNA binding
PMID	56	6.73e-75	2.4599999999999997e-69	(2021) Mass spectrometry-based protein-protein interaction techniques and their applications in studies of DNA damage repair.
Process	197	6.77e-72	4.2499999999999997e-69	Metabolic process
RCTM	58	6.67e-69	2.1700000000000002e-66	G2/M Checkpoints
Component	106	1.25e-68	3.2e-66	Nuclear protein-containing complex
WikiPathways	51	8.669999999999999e-69	3.3800000000000004e-66	DNA IR-damage and cellular response via ATR
COMPARTMENTS	173	1.3199999999999998e-68	5.07e-66	Protein-containing complex
COMPARTMENTS	140	2.2e-68	7.24e-66	Intracellular organelle lumen
PMID	53	1.7199999999999998e-68	5.8e-63	(2015) Modulation of DNA damage and repair pathways by human tumour viruses.
PMID	58	3.2399999999999997e-68	1.01e-62	(2021) Proteins from the DNA Damage Response: Regulation, Dysfunction, and Anticancer Strategies.
Process	102	2.25e-65	1.36e-62	Cell cycle
Function	80	9.410000000000001e-66	1.55e-62	Catalytic activity, acting on a nucleic acid
RCTM	64	1.74e-64	4.9799999999999995e-62	Cell Cycle Checkpoints
PMID	54	4.41e-67	1.2899999999999999e-61	(2020) Focus on UV-Induced DNA Damage and Repair-Disease Relevance and Protective Strategies.
PMID	50	7.049999999999999e-67	1.93e-61	(2016) The multifaceted influence of histone deacetylases on DNA damage signalling and DNA repair.
RCTM	55	2.95e-63	7.49e-61	DNA Replication
RCTM	55	1.67e-62	3.82e-60	S Phase
NetworkNeighborAL	43	1.23e-62	7.06e-60	Homologous DNA Pairing and Strand Exchange, and Response to intra-S DNA damage checkpoint signaling
Process	87	2.12e-62	1.23e-59	Cell cycle process
COMPARTMENTS	96	1.07e-61	2.46e-59	Nucleoplasm
RCTM	50	2.45e-60	5.08e-58	Synthesis of DNA
COMPARTMENTS	191	2.73e-60	5.71e-58	Intracellular membrane-bounded organelle
PMID	48	2.67e-63	6.88e-58	(2021) miR-27b-3p a Negative Regulator of DSB-DNA Repair.
PMID	45	4.23e-63	1.0300000000000001e-57	(2011) Comprehensive screen of genetic variation in DNA repair pathway genes and postmenopausal breast cancer risk.
COMPARTMENTS	44	8.52e-60	1.63e-57	Replication fork
PMID	44	7.96e-63	1.8400000000000002e-57	(2020) Identification of the DNA Replication Regulator MCM Complex Expression and Prognostic Significance in Hepatic Carcinoma.
PMID	47	8.370000000000001e-63	1.8400000000000002e-57	(2021) DNA Damage Response in Multiple Myeloma: The Role of the Tumor Microenvironment.
PMID	45	1.25e-62	2.61e-57	(2021) Targeting protein-protein interactions in the DNA damage response pathways for cancer chemotherapy.
Process	89	1.0400000000000001e-59	5.810000000000001e-57	Chromosome organization
PMID	45	6.04e-62	1.2e-56	(2013) DNA double-strand break repair as determinant of cellular radiosensitivity to killing and target in radiation therapy.
PMID	44	1.34e-61	2.55e-56	(2020) Inhibition of DNA Repair in Cancer Therapy: Toward a Multi-Target Approach.
PMID	46	6.429999999999999e-61	1.1699999999999999e-55	(2021) Targeting the Interplay between HDACs and DNA Damage Repair for Myeloma Therapy.
PMID	46	1.01e-60	1.77e-55	(2020) Chromosome Instability in Fanconi Anemia: From Breaks to Phenotypic Consequences.
PMID	44	1.1199999999999999e-60	1.9e-55	(2019) Treatment May Be Harmful: MechanismsPredictionPrevention of Drug-Induced DNA Damage and Repair in Multiple Myeloma.
PMID	45	1.19e-60	1.94e-55	(2019) beta-HPV 8E6 Attenuates ATM and ATR Signaling in Response to UV Damage.
PMID	46	2.45e-60	3.84e-55	(2018) Ubiquitylation at the Fork: Making and Breaking Chains to Complete DNA Replication.
PMID	46	2.45e-60	3.84e-55	(2017) Around and beyond 53BP1 Nuclear Bodies.
RCTM	39	3.46e-57	6.589999999999999e-55	Homologous DNA Pairing and Strand Exchange
PMID	45	4.93e-60	7.21e-55	(2009) Family cancer syndromes: inherited deficiencies in systems for the maintenance of genomic integrity.
PMID	43	7.219999999999999e-60	1.0199999999999998e-54	(2012) DNA replication stress response involving PLK1, CDC6, POLQ, RAD51 and CLASPIN upregulation prognoses the outcome of earlymid-stage non-small cell lung cancer patients.
RCTM	40	7.81e-57	1.37e-54	Diseases of DNA repair
COMPARTMENTS	40	4.23e-56	7.48e-54	DNA repair complex
Component	41	3.3e-56	7.499999999999999e-54	Replication fork
PMID	52	6.88e-59	9.429999999999999e-54	(2014) A fine-scale dissection of the DNA double-strand break repair machinery and its implications for breast cancer therapy.
PMID	42	7.62e-59	1.01e-53	(2019) The Fanconi Anemia Pathway in Cancer.
Component	56	1.4999999999999999e-55	3.06e-53	Nuclear chromosome
PMID	43	2.61e-58	3.37e-53	(2020) DNA repair fidelity in stem cell maintenance, health, and disease.
WikiPathways	38	2.04e-55	5.31e-53	DNA replication
COMPARTMENTS	60	4.27e-55	7.02e-53	Nuclear chromosome
Component	163	4.11e-55	7.65e-53	Protein-containing complex
KEGG	39	7.479999999999999e-55	2.5099999999999998e-52	Fanconi anemia pathway
RCTM	37	1.75e-54	2.8599999999999996e-52	Presynaptic phase of homologous DNA pairing and strand exchange
RCTM	37	3.35e-54	5.1e-52	Defective homologous recombination repair (HRR) due to BRCA2 loss of function
PMID	41	1.17e-56	1.47e-51	(2018) Deoxyribonucleic Acid Damage and Repair: Capitalizing on Our Understanding of the Mechanisms of Maintaining Genomic Integrity for Therapeutic Purposes.
PMID	42	1.2900000000000001e-56	1.57e-51	(2021) Analyzing the Opportunities to Target DNA Double-Strand Breaks Repair and Replicative Stress Responses to Improve Therapeutic Index of Colorectal Cancer.
Component	158	1.14e-53	1.95e-51	Intracellular non-membrane-bounded organelle
Process	171	3.6299999999999996e-54	1.96e-51	Cellular response to stimulus
RCTM	48	1.51e-53	2.03e-51	Mitotic G1 phase and G1/S transition
PMID	44	1.8e-56	2.13e-51	(2016) Balancing self-renewal against genome preservation in stem cells: How do they manage to have the cake and eat it too?
PMID	41	1.9800000000000001e-56	2.28e-51	(2020) DNA Repair Syndromes and Cancer: Insights Into Genetics and Phenotype Patterns.
PMID	42	3.3500000000000003e-56	3.77e-51	(2021) DNA Damage Repair Deficiency in Pancreatic Ductal Adenocarcinoma: Preclinical Models and Clinical Perspectives.
PMID	41	5.4700000000000005e-56	6e-51	(2021) Genomic Instability and Cancer Risk Associated with Erroneous DNA Repair.
PMID	41	5.4700000000000005e-56	6e-51	(2020) DNA Damage: From Threat to Treatment.
PMID	40	7.2999999999999995e-56	7.62e-51	(2020) The FANCBRCA Pathway Releases Replication Blockades by Eliminating DNA Interstrand Cross-Links.
Function	143	7.399999999999999e-54	9.13e-51	Nucleic acid binding
RCTM	46	9.93e-53	1.26e-50	G1/S Transition
PMID	41	1.4799999999999999e-55	1.51e-50	(2015) Hsp90: A New Player in DNA Repair?
Process	64	2.97e-53	1.55e-50	Regulation of cell cycle phase transition
PMID	44	1.9799999999999998e-55	1.97e-50	(2018) Integrating the DNA damage and protein stress responses during cancer development and treatment.
PMID	45	2.07e-55	2.01e-50	(2019) Functional Analysis of the Replication Fork Proteome Identifies BET Proteins as PCNA Regulators.
PMID	40	6.0199999999999994e-55	5.74e-50	(2019) Holding All the Cards-How Fanconi Anemia Proteins Deal with Replication Stress and Preserve Genomic Stability.
PMID	38	7.05e-55	6.58e-50	(2014) Molecular mechanisms of DNA replication checkpoint activation.
RCTM	67	5.8399999999999994e-52	7.02e-50	Cell Cycle, Mitotic
PMID	42	7.919999999999999e-55	7.24e-50	(2019) Proteolytic control of genome integrity at the replication fork.
PMID	40	9.999999999999999e-55	8.97e-50	(2020) Evolving insights: how DNA repair pathways impact cancer evolution.
PMID	38	1.2899999999999998e-54	1.13e-49	(2012) Rescue of replication failure by Fanconi anaemia proteins.
PMID	37	1.75e-54	1.51e-49	(2018) Rare Genetic Diseases with Defects in DNA Repair: Opportunities and Challenges in Orphan Drug Development for Targeted Cancer Therapy.
PMID	42	1.87e-54	1.58e-49	(2021) A Link between Replicative Stress, Lamin Proteins, and Inflammation.
RCTM	35	1.66e-51	1.89e-49	Activation of ATR in response to replication stress
PMID	40	7.209999999999999e-54	5.96e-49	(2017) Maintenance of genome stability by Fanconi anemia proteins.
PMID	38	7.449999999999999e-54	6.05e-49	(2016) Interplay between Fanconi anemia and homologous recombination pathways in genome integrity.
RCTM	40	1.18e-50	1.2799999999999999e-48	Processing of DNA double-strand break ends
PMID	46	1.64e-53	1.3099999999999999e-48	(2018) DNA Checkpoint and Repair Factors Are Nuclear Sensors for Intracellular Organelle Stresses-Inflammations and Cancers Can Have High Genomic Risks.
PMID	39	1.82e-53	1.43e-48	(2016) Cellular response to DNA interstrand crosslinks: the Fanconi anemia pathway.
PMID	43	2.53e-53	1.94e-48	(2018) Mechanisms of Oncogene-Induced Replication Stress: Jigsaw Falling into Place.
Process	47	4.96e-51	2.51e-48	Cell cycle checkpoint signaling
PMID	38	6.81e-53	5.1499999999999993e-48	(2021) Mind the replication gap.
Function	39	5.24e-51	5.17e-48	Damaged DNA binding
COMPARTMENTS	193	3.71e-50	5.33e-48	Intracellular organelle
PMID	36	1.0299999999999999e-52	7.67e-48	(2014) DNA double-strand break repair pathway choice and cancer.
Process	45	1.8e-50	8.839999999999999e-48	Regulation of DNA replication
RCTM	34	9.64e-50	1e-47	HDR through Single Strand Annealing (SSA)
Process	43	2.29e-50	1.09e-47	DNA integrity checkpoint signaling
PMID	39	2.1399999999999997e-52	1.57e-47	(2017) The essential kinase ATR: ensuring faithful duplication of a challenging genome.
RCTM	33	4.08e-49	4.05e-47	Activation of the pre-replicative complex
PMID	37	6.97e-52	5.010000000000001e-47	(2020) Under-Replicated DNA: The Byproduct of Large Genomes?
PMID	38	9.059999999999999e-52	6.4e-47	(2017) The Role of PALB2 in the DNA Damage Response and Cancer Predisposition.
PMID	37	2.06e-51	1.4299999999999999e-46	(2018) Methodologies for Improving HDR Efficiency.
Process	40	3.54e-49	1.63e-46	DNA duplex unwinding
PMID	38	3.93e-51	2.69e-46	(2017) Drugging the Cancers Addicted to DNA Repair.
PMID	39	5.24e-51	3.54e-46	(2013) Human single-stranded DNA binding proteins are essential for maintaining genomic stability.
PMID	36	6.93e-51	4.6e-46	(2021) Shaping the BRCAness mutational landscape by alternative double-strand break repair, replication stress and mitotic aberrancies.
PMID	37	9.85e-51	6.44e-46	(2013) DNA methyltransferases, DNA damage repair, and cancer.
PMID	35	1.11e-50	7.14e-46	(2015) Ionizing radiation-induced DNA injury and damage detection in patients with breast cancer.
Process	41	1.61e-48	7.21e-46	DNA conformation change
PMID	36	1.21e-50	7.71e-46	(2010) DNA interstrand crosslink repair in mammalian cells: step by step.
PMID	39	1.9e-50	1.1899999999999999e-45	(2020) Protective Mechanisms Against DNA Replication Stress in the Nervous System.
PMID	37	2.69e-50	1.6599999999999998e-45	(2019) PARP inhibitors in ovarian cancer: Sensitivity prediction and resistance mechanisms.
PMID	36	3.62e-50	2.21e-45	(2011) Genetic variation in DNA repair pathway genes and melanoma risk.
Process	40	5.75e-48	2.4399999999999998e-45	Telomere maintenance
PMID	36	6.18e-50	3.71e-45	(2014) Human RecQ helicases in DNA repair, recombination, and replication.
PMID	35	6.66e-50	3.9499999999999996e-45	(2015) Exploiting the Fanconi Anemia Pathway for Targeted Anti-Cancer Therapy.
RCTM	32	4.64e-47	4.41e-45	Impaired BRCA2 binding to RAD51
PMID	34	9.64e-50	5.639999999999999e-45	(2017) Recent discoveries in the molecular pathogenesis of the inherited bone marrow failure syndrome Fanconi anemia.
PMID	36	1.05e-49	6.039999999999999e-45	(2013) Genomic instability in cancer.
PMID	38	1.4999999999999998e-49	8.56e-45	(2020) Impact of Helicobacter pylori Infection and Its Major Virulence Factor CagA on DNA Damage Repair.
PMID	36	1.76e-49	9.88e-45	(2020) A Survey of Essential Genome Stability Genes Reveals That Replication Stress Mitigation Is Critical for Peri-Implantation Embryogenesis.
WikiPathways	36	5.1e-47	9.949999999999999e-45	G1 to S cell cycle control
PMID	37	1.85e-49	1.03e-44	(2018) Germline Pathogenic Variants in Homologous Recombination and DNA Repair Genes in an Asian Cohort of Young-Onset Colorectal Cancer.
PMID	37	1.85e-49	1.03e-44	(2013) DNA repair mechanisms in dividing and non-dividing cells.
Process	67	2.89e-47	1.19e-44	Mitotic cell cycle
Component	43	1.08e-46	1.57e-44	Chromosome, telomeric region
PMID	38	3.54e-49	1.92e-44	(2020) DNA Repair and Ovarian Carcinogenesis: Impact on Risk, Prognosis and Therapy Outcome.
RCTM	37	2.45e-46	2.24e-44	G2/M DNA damage checkpoint
Component	33	1.87e-46	2.55e-44	DNA repair complex
PMID	34	6.17e-49	3.3e-44	(2017) Non-homologous DNA end joining and alternative pathways to double-strand break repair.
PMID	35	6.32e-49	3.34e-44	(2017) DNA damage response and cancer therapeutics through the lens of the Fanconi Anemia DNA repair pathway.
PMID	35	6.32e-49	3.34e-44	(2013) Advances in understanding the complex mechanisms of DNA interstrand cross-link repair.
WikiPathways	38	2.5e-46	3.9e-44	Retinoblastoma gene in cancer
Process	63	1.15e-46	4.64e-44	Mitotic cell cycle process
PMID	35	1.08e-48	5.59e-44	(2009) The Fanconi anemia protein interaction network: casting a wide net.
PMID	35	1.84e-48	9.4e-44	(2013) DNA helicases involved in DNA repair and their roles in cancer.
PMID	34	2.01e-48	1.01e-43	(2011) DNA interstrand crosslink repair and cancer.
PMID	36	3.37e-48	1.6800000000000002e-43	(2021) RAD52: Paradigm of Synthetic Lethality and New Developments.
Process	48	4.5e-46	1.7700000000000002e-43	Negative regulation of cell cycle phase transition
PMID	33	5.479999999999999e-48	2.7e-43	(2018) DNA repair pathways and cisplatin resistance: an intimate relationship.
PMID	37	6.549999999999999e-48	3.19e-43	(2015) Repeat instability during DNA repair: Insights from model systems.
PMID	37	1.51e-47	7.290000000000001e-43	(2021) Mechanisms of damage tolerance and repair during DNA replication.
PMID	34	3.2200000000000003e-47	1.54e-42	(2017) S-phase checkpoint regulations that preserve replication and chromosome integrity upon dNTP depletion.
Process	68	4.11e-45	1.57e-42	Regulation of cell cycle process
PMID	35	3.7700000000000003e-47	1.7799999999999997e-42	(2020) Fanconi anemia pathway as a prospective target for cancer intervention.
NetworkNeighborAL	31	4.94e-45	2.51e-42	Resolution of D-loop Structures through Holliday Junction Intermediates, and RIDDLE syndrome
PMID	35	6.08e-47	2.8399999999999998e-42	(2017) Targeting DNA Repair in Cancer: Beyond PARP Inhibitors.
RCTM	30	4.16e-44	3.65e-42	DNA strand elongation
COMPARTMENTS	45	3.27e-44	4.18e-42	protein-DNA complex
PMID	37	1.13e-46	5.22e-42	(2021) RIF1 Links Replication Timing with Fork Reactivation and DNA Double-Strand Break Repair.
Function	40	6.48e-45	5.32e-42	Single-stranded DNA binding
PMID	34	1.53e-46	6.979999999999999e-42	(2021) The Safe Path at the Fork: Ensuring Replication-Associated DNA Double-Strand Breaks are Repaired by Homologous Recombination.
PMID	37	1.67e-46	7.53e-42	(2017) Directing the use of DDR kinase inhibitors in cancer treatment.
PMID	37	1.67e-46	7.53e-42	(2022) Targeting DNA Damage Response and Immune Checkpoint for Anticancer Therapy.
PMID	38	1.7499999999999999e-46	7.76e-42	(2014) DNA damage response genes and the development of cancer metastasis.
PMID	34	2.5299999999999998e-46	1.1099999999999999e-41	(2022) Fanconi Anemia Pathway in Colorectal Cancer: A Novel Opportunity for Diagnosis, Prognosis and Therapy.
Process	49	6.47e-44	2.42e-41	Negative regulation of cell cycle process
WikiPathways	39	1.99e-43	2.59e-41	Cell cycle
Process	40	3.41e-43	1.22e-40	Signal transduction in response to DNA damage
RCTM	36	1.71e-42	1.45e-40	Regulation of TP53 Activity through Phosphorylation
NetworkNeighborAL	29	3.2999999999999998e-43	1.51e-40	Activation of the pre-replicative complex, and GINS complex
Function	156	2.61e-43	1.84e-40	Heterocyclic compound binding
Function	38	3.740000000000001e-43	2.31e-40	ATP-dependent activity, acting on DNA
Process	77	1.76e-42	6.13e-40	Regulation of cell cycle
Function	156	1.3399999999999998e-42	7.34e-40	Organic cyclic compound binding
Process	52	2.3699999999999998e-42	8.059999999999999e-40	Negative regulation of cell cycle
Process	37	2.7799999999999996e-42	9.27e-40	DNA damage checkpoint signaling
Process	32	8.479999999999999e-42	2.77e-39	Regulation of DNA-templated DNA replication
RCTM	51	5.03e-41	4.1e-39	Transcriptional Regulation by TP53
Process	55	1.36e-41	4.36e-39	Response to radiation
KEGG	29	2.6e-41	4.36e-39	DNA replication
Process	172	3.08e-41	9.66e-39	Response to stimulus
RCTM	28	1.2799999999999998e-40	1.0099999999999999e-38	Resolution of D-loop Structures through Holliday Junction Intermediates
KEGG	37	1.7299999999999999e-40	1.94e-38	Cell cycle
WikiPathways	33	2.4599999999999998e-40	2.75e-38	Nucleotide excision repair in xeroderma pigmentosum 
Keyword	94	4.939999999999999e-40	6.64e-38	DNA-binding
KEGG	28	4.01e-39	3.3700000000000004e-37	Homologous recombination
COMPARTMENTS	195	1.98e-38	2.4e-36	Intracellular
WikiPathways	31	7.86e-38	7.68e-36	miRNA regulation of DNA damage response
Process	46	4.1000000000000003e-38	1.2600000000000001e-35	Positive regulation of DNA metabolic process
RCTM	27	1.95e-37	1.44e-35	Resolution of Abasic Sites (AP sites)
KEGG	28	2.1700000000000002e-37	1.46e-35	Nucleotide excision repair
Process	33	6.07e-38	1.83e-35	DNA biosynthetic process
Component	48	3.1200000000000003e-37	3.9900000000000003e-35	Chromosomal region
Process	37	1.5700000000000002e-37	4.66e-35	Negative regulation of DNA metabolic process
Keyword	31	6.04e-37	6.760000000000001e-35	DNA recombination
Component	197	6.030000000000001e-37	7.27e-35	Intracellular membrane-bounded organelle
RCTM	37	1.24e-36	8.87e-35	Regulation of TP53 Activity
Process	53	3.79e-37	1.1e-34	Regulation of mitotic cell cycle
WikiPathways	30	1.39e-36	1.21e-34	DNA damage response
RCTM	28	1.9900000000000002e-36	1.38e-34	Extension of Telomeres
WikiPathways	27	3.76e-36	2.94e-34	Nucleotide excision repair
RCTM	26	5.54e-36	3.72e-34	Fanconi Anemia Pathway
Keyword	57	1.29e-35	1.2300000000000001e-33	Cell cycle
RCTM	34	2.36e-35	1.54e-33	DNA Replication Pre-Initiation
Process	28	6.94e-36	1.98e-33	DNA-templated DNA replication maintenance of fidelity
Process	34	1.88e-35	5.2700000000000004e-33	Mitotic cell cycle checkpoint signaling
Process	35	2.55e-35	7.01e-33	Response to ionizing radiation
RCTM	30	1.29e-34	8.16e-33	Global Genome Nucleotide Excision Repair (GG-NER)
RCTM	29	1.33e-34	8.23e-33	Base Excision Repair
HPO	28	8.38e-37	1.02e-32	Abnormality of chromosome stability
Process	26	4.05e-35	1.1e-32	Interstrand cross-link repair
WikiPathways	27	4.0099999999999995e-34	2.85e-32	DNA IR-double strand breaks and cellular response via ATM
NetworkNeighborAL	24	9.13e-35	3.8e-32	Polymerase switching, and Epsilon DNA polymerase complex
Process	24	1.65e-34	4.4e-32	DNA replication initiation
Process	30	2.3199999999999997e-34	6.07e-32	Mitotic DNA integrity checkpoint signaling
RCTM	23	1.43e-33	8.57e-32	Resolution of D-loop Structures through Synthesis-Dependent Strand Annealing (SDSA)
COMPARTMENTS	24	9.01e-34	1.0400000000000001e-31	Nuclear replication fork
RCTM	24	2.61e-33	1.53e-31	Telomere C-strand (Lagging Strand) Synthesis
Process	27	8.62e-34	2.2200000000000002e-31	Nucleotide-excision repair
RCTM	31	4.73e-33	2.6999999999999997e-31	Nucleotide Excision Repair
HPO	50	8.120000000000001e-35	4.96e-31	Intrauterine growth retardation
Process	25	4.42e-33	1.12e-30	Double-strand break repair via nonhomologous end joining
Process	43	4.84e-33	1.2099999999999999e-30	Regulation of mitotic cell cycle phase transition
RCTM	22	2.1900000000000001e-32	1.22e-30	Defective HDR through Homologous Recombination Repair (HRR) due to PALB2 loss of BRCA2/RAD51/RAD51C binding function
RCTM	22	2.1900000000000001e-32	1.22e-30	Defective homologous recombination repair (HRR) due to BRCA1 loss of function
RCTM	22	2.1900000000000001e-32	1.22e-30	Defective HDR through Homologous Recombination Repair (HRR) due to PALB2 loss of BRCA1 binding function
RCTM	22	2.1900000000000001e-32	1.22e-30	Impaired BRCA2 binding to PALB2
RCTM	31	5.97e-32	2.96e-30	Chromosome Maintenance
RCTM	29	6.2e-32	3.01e-30	Telomere Maintenance
RCTM	24	7.61e-32	3.6199999999999995e-30	Dual Incision in GG-NER
Process	28	6.68e-32	1.64e-29	Mitotic DNA damage checkpoint signaling
Process	24	1.8300000000000002e-31	4.4200000000000004e-29	Base-excision repair
RCTM	21	2.12e-30	9.87e-29	Resolution of AP sites via the multiple-nucleotide patch replacement pathway
NetworkNeighborAL	21	3.29e-31	1.26e-28	Resolution of D-loop Structures through Holliday Junction Intermediates, and DNA translocase activity
DISEASES	22	4.08e-32	1.87e-28	Fanconi anemia
Process	34	8.48e-31	2.0099999999999999e-28	Cellular response to radiation
COMPARTMENTS	40	4.3699999999999995e-30	4.79e-28	Transferase complex, transferring phosphorus-containing groups
Keyword	20	9.379999999999999e-30	7.8799999999999995e-28	Fanconi anemia
HPO	35	2.6300000000000004e-31	1.07e-27	Hypermelanotic macule
Process	29	4.7699999999999996e-30	1.1200000000000001e-27	Regulation of cell cycle G2/M phase transition
RCTM	26	2.4700000000000002e-29	1.1300000000000002e-27	Transcription-Coupled Nucleotide Excision Repair (TC-NER)
Process	35	5.28e-30	1.2200000000000002e-27	Negative regulation of mitotic cell cycle
HPO	21	6.2500000000000005e-31	1.27e-27	Pyridoxine-responsive sideroblastic anemia
HPO	22	4.15e-31	1.27e-27	Duodenal stenosis
COMPARTMENTS	21	1.9800000000000002e-29	2.0800000000000004e-27	Replisome
WikiPathways	21	5.56e-29	3.6200000000000004e-27	Base excision repair
HPO	21	2.12e-30	3.69e-27	Aplasia/Hypoplasia of the uvula
HPO	36	2.59e-30	3.69e-27	Irregular hyperpigmentation
HPO	21	2.12e-30	3.69e-27	Absent testis
HPO	39	3.71e-30	4.11e-27	Hyperpigmentation of the skin
Function	25	8.500000000000001e-30	4.19e-27	DNA helicase activity
Process	20	5.98e-29	1.3600000000000002e-26	Nuclear DNA replication
RCTM	19	5.03e-28	2.2500000000000002e-26	PCNA-Dependent Long Patch Base Excision Repair
HPO	38	2.96e-29	3.01e-26	Clinodactyly of the 5th finger
Process	105	1.36e-28	3.01e-26	Organelle organization
HPO	38	3.32e-29	3.1100000000000004e-26	Deviation of the 5th finger
HPO	21	3.35e-29	3.1100000000000004e-26	Abnormal preputium morphology
HPO	21	3.35e-29	3.1100000000000004e-26	Clubbing of toes
Component	27	3.73e-28	3.82e-26	Site of DNA damage
Process	27	1.88e-28	4.09e-26	Regulation of G2/M transition of mitotic cell cycle
Component	34	4.46e-28	4.3500000000000003e-26	protein-DNA complex
RCTM	22	1.9400000000000003e-27	8.5e-26	DNA Damage Bypass
Component	20	9.200000000000001e-28	8.56e-26	Nuclear replication fork
COMPARTMENTS	19	9.279999999999999e-28	9.29e-26	DNA polymerase complex
Process	35	6.1799999999999995e-28	1.33e-25	Meiotic cell cycle
HPO	31	1.82e-28	1.37e-25	Abnormal uvula morphology
HPO	43	1.8000000000000002e-28	1.37e-25	Abnormality of skin pigmentation
HPO	27	3.73e-28	2.39e-25	Hypopigmented skin patches
