category	term	number_of_genes	number_of_genes_in_background	ncbiTaxonId	inputGenes	preferredNames	p_value	fdr	description
Process	GO:0006259	53	785	9606	CDC6,MCM5,RBX1,POLE2,ORC6,CHRAC1,GMNN,ORC2,MAD2L2,GINS2,ORC3,MCM4,GINS1,CCNE1,POLD3,MCM6,MCM2,POLA2,DBF4,CDK2,TICRR,GINS4,ORC5,CDT1,DONSON,MCM7,MCM9,POLE,PRIM1,REV3L,MCMBP,RRM2,WDHD1,DTL,ORC1,RPA4,POLE3,MCM8,POLA1,CDK1,CDC7,POLG,GINS3,MCMDC2,MCM10,POLE4,CCNE2,ORC4,POLG2,POLD2,MCM3,PRIM2,MCM8-2	CDC6,MCM5,RBX1,POLE2,ORC6,CHRAC1,GMNN,ORC2,MAD2L2,GINS2,ORC3,MCM4,GINS1,CCNE1,POLD3,MCM6,MCM2,POLA2,DBF4,CDK2,TICRR,GINS4,ORC5,CDT1,DONSON,MCM7,MCM9,POLE,PRIM1,REV3L,MCMBP,RRM2,WDHD1,DTL,ORC1,RPA4,POLE3,MCM8,POLA1,CDK1,CDC7,POLG,GINS3,MCMDC2,MCM10,POLE4,CCNE2,ORC4,POLG2,POLD2,MCM3,PRIM2,MCM8-2	3.56e-59	1.86e-55	DNA metabolic process
RCTM	HSA-68962	29	33	9606	CDC6,MCM5,POLE2,ORC6,GMNN,ORC2,ORC3,MCM4,MCM6,MCM2,POLA2,DBF4,CDK2,ORC5,CDT1,MCM7,POLE,PRIM1,ORC1,RPA4,POLE3,MCM8,POLA1,CDC7,MCM10,POLE4,ORC4,MCM3,PRIM2	CDC6,MCM5,POLE2,ORC6,GMNN,ORC2,ORC3,MCM4,MCM6,MCM2,POLA2,DBF4,CDK2,ORC5,CDT1,MCM7,POLE,PRIM1,ORC1,RPA4,POLE3,MCM8,POLA1,CDC7,MCM10,POLE4,ORC4,MCM3,PRIM2	2.15e-57	7.01e-55	Activation of the pre-replicative complex
PMID	PMID:32964028	31	54	9606	CDC6,MCM5,POLE2,ORC6,GMNN,GINS2,ORC3,MCM4,GINS1,POLD3,MCM6,POLA2,DBF4,CDK2,GINS4,ORC5,CDT1,MCM7,PRIM1,MCMBP,RRM2,MCM8,POLA1,CDK1,CDC7,GINS3,MCM10,ORC4,MCM3,CCNA2,MCM8-2	CDC6,MCM5,POLE2,ORC6,GMNN,GINS2,ORC3,MCM4,GINS1,POLD3,MCM6,POLA2,DBF4,CDK2,GINS4,ORC5,CDT1,MCM7,PRIM1,MCMBP,RRM2,MCM8,POLA1,CDK1,CDC7,GINS3,MCM10,ORC4,MCM3,CCNA2,MCM8-2	3e-57	1.32e-50	(2020) Identification of the DNA Replication Regulator MCM Complex Expression and Prognostic Significance in Hepatic Carcinoma.
WikiPathways	WP466	28	42	9606	CDC6,MCM5,POLE2,ORC6,GMNN,ORC2,ORC3,MCM4,POLD3,MCM6,MCM2,POLA2,DBF4,CDK2,ORC5,CDT1,MCM7,POLE,PRIM1,ORC1,RPA4,POLA1,CDC7,MCM10,ORC4,POLD2,MCM3,PRIM2	CDC6,MCM5,POLE2,ORC6,GMNN,ORC2,ORC3,MCM4,POLD3,MCM6,MCM2,POLA2,DBF4,CDK2,ORC5,CDT1,MCM7,POLE,PRIM1,ORC1,RPA4,POLA1,CDC7,MCM10,ORC4,POLD2,MCM3,PRIM2	6.92e-53	5.41e-50	DNA replication
WikiPathways	WP45	29	64	9606	MCM5,POLE2,ORC6,ORC2,CCNA1,ORC3,CDK4,MCM4,CCNE1,MCM6,MCM2,POLA2,CDK6,CDK2,RB1,ORC5,CDC25A,MCM7,POLE,E2F1,PRIM1,ORC1,CDK1,CDKN1A,CDKN2A,CCNE2,ORC4,MCM3,PRIM2	MCM5,POLE2,ORC6,ORC2,CCNA1,ORC3,CDK4,MCM4,CCNE1,MCM6,MCM2,POLA2,CDK6,CDK2,RB1,ORC5,CDC25A,MCM7,POLE,E2F1,PRIM1,ORC1,CDK1,CDKN1A,CDKN2A,CCNE2,ORC4,MCM3,PRIM2	5.09e-51	1.99e-48	G1 to S cell cycle control
NetworkNeighborAL	CL:6459	26	29	9606	CDC6,MCM5,ORC6,GMNN,ORC2,GINS2,ORC3,MCM4,GINS1,MCM6,MCM2,DBF4,GINS4,ORC5,CDT1,MCM7,MCM9,WDHD1,ORC1,MCM8,CDC7,GINS3,MCM10,ORC4,MCM3,MCM8-2	CDC6,MCM5,ORC6,GMNN,ORC2,GINS2,ORC3,MCM4,GINS1,MCM6,MCM2,DBF4,GINS4,ORC5,CDT1,MCM7,MCM9,WDHD1,ORC1,MCM8,CDC7,GINS3,MCM10,ORC4,MCM3,MCM8-2	1.95e-51	4.4499999999999995e-48	Activation of the pre-replicative complex, and GINS complex
WikiPathways	WP179	31	120	9606	CDC6,MCM5,RBX1,ORC6,ORC2,MAD2L2,CCNA1,ORC3,CDK4,MCM4,CCNE1,MCM6,MCM2,DBF4,CDK6,CDK2,RB1,SKP2,ORC5,CDC25A,MCM7,E2F1,ORC1,CDK1,CDKN1A,CDC7,CDKN2A,CCNE2,ORC4,MCM3,CCNA2	CDC6,MCM5,RBX1,ORC6,ORC2,MAD2L2,CCNA1,ORC3,CDK4,MCM4,CCNE1,MCM6,MCM2,DBF4,CDK6,CDK2,RB1,SKP2,ORC5,CDC25A,MCM7,E2F1,ORC1,CDK1,CDKN1A,CDC7,CDKN2A,CCNE2,ORC4,MCM3,CCNA2	2.81e-48	7.299999999999999e-46	Cell cycle
KEGG	hsa04110	31	120	9606	CDC6,MCM5,RBX1,ORC6,ORC2,MAD2L2,CCNA1,ORC3,CDK4,MCM4,CCNE1,MCM6,MCM2,DBF4,CDK6,CDK2,RB1,SKP2,ORC5,CDC25A,MCM7,E2F1,ORC1,CDK1,CDKN1A,CDC7,CDKN2A,CCNE2,ORC4,MCM3,CCNA2	CDC6,MCM5,RBX1,ORC6,ORC2,MAD2L2,CCNA1,ORC3,CDK4,MCM4,CCNE1,MCM6,MCM2,DBF4,CDK6,CDK2,RB1,SKP2,ORC5,CDC25A,MCM7,E2F1,ORC1,CDK1,CDKN1A,CDC7,CDKN2A,CCNE2,ORC4,MCM3,CCNA2	2.81e-48	9.43e-46	Cell cycle
Process	GO:0090304	60	2203	9606	CDC6,MCM5,RBX1,POLE2,ORC6,CHRAC1,GMNN,ORC2,MAD2L2,GINS2,ORC3,MCM4,ELOB,GINS1,CCNE1,POLD3,MCM6,MCM2,POLA2,DBF4,CDK2,RB1,TICRR,GINS4,ORC5,CDT1,DONSON,MCM7,MCM9,POLE,E2F1,PRIM1,REV3L,MCMBP,RRM2,WDHD1,DTL,ORC1,RPA4,POLE3,MCM8,POLA1,CDK1,CRCP,CDC7,POLG,GINS3,MCMDC2,MCM10,CDKN2A,POLE4,CCNE2,ORC4,POLG2,ELOC,POLD2,MCM3,CCNA2,PRIM2,MCM8-2	CDC6,MCM5,RBX1,POLE2,ORC6,CHRAC1,GMNN,ORC2,MAD2L2,GINS2,ORC3,MCM4,ELOB,GINS1,CCNE1,POLD3,MCM6,MCM2,POLA2,DBF4,CDK2,RB1,TICRR,GINS4,ORC5,CDT1,DONSON,MCM7,MCM9,POLE,E2F1,PRIM1,REV3L,MCMBP,RRM2,WDHD1,DTL,ORC1,RPA4,POLE3,MCM8,POLA1,CDK1,CRCP,CDC7,POLG,GINS3,MCMDC2,MCM10,CDKN2A,POLE4,CCNE2,ORC4,POLG2,ELOC,POLD2,MCM3,CCNA2,PRIM2,MCM8-2	3.29e-47	1.29e-43	Nucleic acid metabolic process
Process	GO:0006270	22	29	9606	CDC6,MCM5,ORC6,ORC2,ORC3,MCM4,CCNE1,MCM6,MCM2,POLA2,ORC5,MCM7,PRIM1,ORC1,RPA4,POLA1,GINS3,MCM10,CCNE2,ORC4,MCM3,PRIM2	CDC6,MCM5,ORC6,ORC2,ORC3,MCM4,CCNE1,MCM6,MCM2,POLA2,ORC5,MCM7,PRIM1,ORC1,RPA4,POLA1,GINS3,MCM10,CCNE2,ORC4,MCM3,PRIM2	3.01e-42	9.45e-39	DNA replication initiation
COMPARTMENTS	GOCC:0000228	34	320	9606	MCM5,POLE2,ORC6,CHRAC1,ORC2,GINS2,ORC3,MCM4,GINS1,POLD3,MCM6,MCM2,POLA2,DBF4,RB1,TICRR,GINS4,ORC5,CDT1,MCM7,POLE,PRIM1,WDHD1,ORC1,RPA4,POLE3,POLA1,GINS3,MCM10,POLE4,ORC4,POLD2,MCM3,PRIM2	MCM5,POLE2,ORC6,CHRAC1,ORC2,GINS2,ORC3,MCM4,GINS1,POLD3,MCM6,MCM2,POLA2,DBF4,RB1,TICRR,GINS4,ORC5,CDT1,MCM7,POLE,PRIM1,WDHD1,ORC1,RPA4,POLE3,POLA1,GINS3,MCM10,POLE4,ORC4,POLD2,MCM3,PRIM2	2.58e-41	5.94e-38	Nuclear chromosome
WikiPathways	WP2446	25	87	9606	POLE2,CDK4,MCM4,CCNE1,POLD3,MCM6,CDK6,CDK2,RB1,SKP2,CDT1,CDC25A,MCM7,POLE,E2F1,PRIM1,RRM2,ORC1,POLA1,CDK1,CDKN1A,CDC7,CCNE2,MCM3,CCNA2	POLE2,CDK4,MCM4,CCNE1,POLD3,MCM6,CDK6,CDK2,RB1,SKP2,CDT1,CDC25A,MCM7,POLE,E2F1,PRIM1,RRM2,ORC1,POLA1,CDK1,CDKN1A,CDC7,CCNE2,MCM3,CCNA2	1.31e-39	2.55e-37	Retinoblastoma gene in cancer
COMPARTMENTS	GOCC:0031981	53	1850	9606	CDC6,MCM5,RBX1,POLE2,ORC6,CHRAC1,ORC2,GINS2,CCNA1,ORC3,CDK4,MCM4,ELOB,GINS1,POLD3,MCM6,MCM2,POLA2,DBF4,CDK6,CDK2,RB1,TICRR,SKP2,GINS4,ORC5,CDT1,CDC25A,MCM7,POLE,E2F1,PRIM1,WDHD1,DTL,ORC1,RPA4,POLE3,POLA1,CDK1,CDKN1A,CDC7,POLG,GINS3,CUL2,MCM10,CDKN2A,POLE4,ORC4,ELOC,POLD2,MCM3,CCNA2,PRIM2	CDC6,MCM5,RBX1,POLE2,ORC6,CHRAC1,ORC2,GINS2,CCNA1,ORC3,CDK4,MCM4,ELOB,GINS1,POLD3,MCM6,MCM2,POLA2,DBF4,CDK6,CDK2,RB1,TICRR,SKP2,GINS4,ORC5,CDT1,CDC25A,MCM7,POLE,E2F1,PRIM1,WDHD1,DTL,ORC1,RPA4,POLE3,POLA1,CDK1,CDKN1A,CDC7,POLG,GINS3,CUL2,MCM10,CDKN2A,POLE4,ORC4,ELOC,POLD2,MCM3,CCNA2,PRIM2	2.8e-40	3.2200000000000003e-37	Nuclear lumen
Component	GO:0000228	31	244	9606	MCM5,POLE2,ORC6,CHRAC1,ORC2,GINS2,ORC3,MCM4,GINS1,POLD3,MCM6,MCM2,POLA2,GINS4,ORC5,MCM7,POLE,E2F1,PRIM1,WDHD1,ORC1,RPA4,POLE3,POLA1,GINS3,MCM10,POLE4,ORC4,POLD2,MCM3,PRIM2	MCM5,POLE2,ORC6,CHRAC1,ORC2,GINS2,ORC3,MCM4,GINS1,POLD3,MCM6,MCM2,POLA2,GINS4,ORC5,MCM7,POLE,E2F1,PRIM1,WDHD1,ORC1,RPA4,POLE3,POLA1,GINS3,MCM10,POLE4,ORC4,POLD2,MCM3,PRIM2	1.24e-39	2.53e-36	Nuclear chromosome
Process	GO:0044260	57	2512	9606	CDC6,MCM5,RBX1,POLE2,ORC6,CHRAC1,GMNN,ORC2,MAD2L2,GINS2,ORC3,MCM4,ELOB,GINS1,CCNE1,POLD3,MCM6,MCM2,POLA2,DBF4,CDK2,TICRR,SKP2,GINS4,ORC5,CDT1,DONSON,MCM7,MCM9,POLE,PRIM1,REV3L,MCMBP,RRM2,WDHD1,DTL,ORC1,RPA4,POLE3,MCM8,POLA1,CDK1,CDC7,POLG,GINS3,MCMDC2,CUL2,MCM10,POLE4,CCNE2,ORC4,POLG2,ELOC,POLD2,MCM3,PRIM2,MCM8-2	CDC6,MCM5,RBX1,POLE2,ORC6,CHRAC1,GMNN,ORC2,MAD2L2,GINS2,ORC3,MCM4,ELOB,GINS1,CCNE1,POLD3,MCM6,MCM2,POLA2,DBF4,CDK2,TICRR,SKP2,GINS4,ORC5,CDT1,DONSON,MCM7,MCM9,POLE,PRIM1,REV3L,MCMBP,RRM2,WDHD1,DTL,ORC1,RPA4,POLE3,MCM8,POLA1,CDK1,CDC7,POLG,GINS3,MCMDC2,CUL2,MCM10,POLE4,CCNE2,ORC4,POLG2,ELOC,POLD2,MCM3,PRIM2,MCM8-2	3.15e-39	5.4800000000000004e-36	Cellular macromolecule metabolic process
COMPARTMENTS	GOCC:0005694	43	951	9606	CDC6,MCM5,POLE2,ORC6,CHRAC1,ORC2,MAD2L2,GINS2,ORC3,CDK4,MCM4,GINS1,POLD3,MCM6,MCM2,POLA2,DBF4,RB1,TICRR,GINS4,ORC5,CDT1,DONSON,MCM7,POLE,E2F1,PRIM1,WDHD1,DTL,ORC1,RPA4,POLE3,POLA1,CDK1,POLG,GINS3,MCM10,CDKN2A,POLE4,ORC4,POLD2,MCM3,PRIM2	CDC6,MCM5,POLE2,ORC6,CHRAC1,ORC2,MAD2L2,GINS2,ORC3,CDK4,MCM4,GINS1,POLD3,MCM6,MCM2,POLA2,DBF4,RB1,TICRR,GINS4,ORC5,CDT1,DONSON,MCM7,POLE,E2F1,PRIM1,WDHD1,DTL,ORC1,RPA4,POLE3,POLA1,CDK1,POLG,GINS3,MCM10,CDKN2A,POLE4,ORC4,POLD2,MCM3,PRIM2	1.21e-38	9.27e-36	Chromosome
RCTM	HSA-69052	23	91	9606	CDC6,MCM5,RBX1,ORC6,GMNN,ORC2,CCNA1,ORC3,MCM4,CCNE1,MCM6,MCM2,CDK2,SKP2,ORC5,CDT1,MCM7,ORC1,MCM8,CCNE2,ORC4,MCM3,CCNA2	CDC6,MCM5,RBX1,ORC6,GMNN,ORC2,CCNA1,ORC3,MCM4,CCNE1,MCM6,MCM2,CDK2,SKP2,ORC5,CDT1,MCM7,ORC1,MCM8,CCNE2,ORC4,MCM3,CCNA2	2.91e-35	6.65e-33	Switching of origins to a post-replicative state
PMID	PMID:30042885	24	74	9606	POLE2,GMNN,GINS2,CDK4,GINS1,CCNE1,POLA2,CDK6,CDK2,RB1,SKP2,CDC25A,MCM7,E2F1,PRIM1,RRM2,POLA1,CDK1,CDKN1A,MCM10,CDKN2A,CCNE2,MCM3,CCNA2	POLE2,GMNN,GINS2,CDK4,GINS1,CCNE1,POLA2,CDK6,CDK2,RB1,SKP2,CDC25A,MCM7,E2F1,PRIM1,RRM2,POLA1,CDK1,CDKN1A,MCM10,CDKN2A,CCNE2,MCM3,CCNA2	4.47e-39	9.78e-33	(2018) Microarray gene expression profiling in colorectal (HCT116) and hepatocellular (HepG2) carcinoma cell lines treated with Melicope ptelefolia leaf extract reveals transcriptome profiles exhibiting anticancer activity.
PMID	PMID:33477564	22	48	9606	CDC6,MCM5,POLE2,ORC6,GMNN,ORC3,MCM4,GINS1,DBF4,TICRR,CDT1,DONSON,MCM7,PRIM1,WDHD1,POLE3,POLA1,CUL2,MCM10,POLE4,ORC4,POLD2	CDC6,MCM5,POLE2,ORC6,GMNN,ORC3,MCM4,GINS1,DBF4,TICRR,CDT1,DONSON,MCM7,PRIM1,WDHD1,POLE3,POLA1,CUL2,MCM10,POLE4,ORC4,POLD2	1.59e-38	2.32e-32	(2021) Congenital Diseases of DNA Replication: Clinical Phenotypes and Molecular Mechanisms.
COMPARTMENTS	GOCC:0032993	27	198	9606	CDC6,MCM5,ORC6,GINS2,ORC3,MCM4,GINS1,POLD3,MCM6,MCM2,POLA2,DBF4,TICRR,GINS4,CDT1,DONSON,MCM7,PRIM1,WDHD1,RPA4,POLA1,CDC7,GINS3,MCM10,POLD2,MCM3,PRIM2	CDC6,MCM5,ORC6,GINS2,ORC3,MCM4,GINS1,POLD3,MCM6,MCM2,POLA2,DBF4,TICRR,GINS4,CDT1,DONSON,MCM7,PRIM1,WDHD1,RPA4,POLA1,CDC7,GINS3,MCM10,POLD2,MCM3,PRIM2	4.910000000000001e-35	2.82e-32	protein-DNA complex
Process	GO:0006275	25	136	9606	CDC6,MCM5,CHRAC1,GMNN,GINS2,ORC3,MCM4,GINS1,MCM6,MCM2,DBF4,CDK2,TICRR,GINS4,ORC5,CDT1,DONSON,MCM7,POLE3,CDK1,CDC7,GINS3,POLG2,MCM3,CCNA2	CDC6,MCM5,CHRAC1,GMNN,GINS2,ORC3,MCM4,GINS1,MCM6,MCM2,DBF4,CDK2,TICRR,GINS4,ORC5,CDT1,DONSON,MCM7,POLE3,CDK1,CDC7,GINS3,POLG2,MCM3,CCNA2	2.6e-35	3.4000000000000003e-32	Regulation of DNA replication
RCTM	HSA-176187	19	37	9606	CDC6,MCM5,ORC6,ORC2,ORC3,MCM4,MCM6,MCM2,DBF4,CDK2,ORC5,CDC25A,MCM7,ORC1,MCM8,CDC7,MCM10,ORC4,MCM3	CDC6,MCM5,ORC6,ORC2,ORC3,MCM4,MCM6,MCM2,DBF4,CDK2,ORC5,CDC25A,MCM7,ORC1,MCM8,CDC7,MCM10,ORC4,MCM3	5.25e-34	1.09e-31	Activation of ATR in response to replication stress
PMID	PMID:34178669	20	30	9606	MCM5,ORC6,ORC3,MCM4,POLD3,MCM6,GINS4,ORC5,CDT1,MCM7,MCM9,MCMBP,MCM8,CDC7,GINS3,MCMDC2,MCM10,ORC4,MCM3,MCM8-2	MCM5,ORC6,ORC3,MCM4,POLD3,MCM6,GINS4,ORC5,CDT1,MCM7,MCM9,MCMBP,MCM8,CDC7,GINS3,MCMDC2,MCM10,ORC4,MCM3,MCM8-2	1.5e-37	1.6400000000000001e-31	(2021) Systemic Analysis of the DNA Replication Regulator MCM Complex in Ovarian Cancer and Its Prognostic Value.
