category	number_of_genes	p_value	fdr	description
RCTM	8	4.89e-12	7.44e-10	Gap-filling DNA repair synthesis and ligation in TC-NER
Function	8	1.41e-12	7.7e-10	Deoxyribonuclease activity
Function	11	1.7e-12	7.7e-10	Nuclease activity
Process	9	2.45e-12	8.17e-10	Telomere maintenance
Process	7	2.76e-12	9.02e-10	Somatic recombination of immunoglobulin gene segments
Keyword	23	9.12e-12	9.26e-10	DNA-binding
Keyword	6	8.27e-12	9.26e-10	DNA-directed DNA polymerase
DISEASES	6	8.96e-13	1.37e-09	Xeroderma pigmentosum group G
RCTM	9	1.37e-11	1.95e-09	Homology Directed Repair
InterPro	7	4.52e-13	3.24e-09	BRCT domain
InterPro	7	7.44e-13	3.24e-09	BRCT domain superfamily
HPO	8	3.74e-13	3.47e-09	Papilloma
HPO	9	2.85e-13	3.47e-09	Cutaneous photosensitivity
Process	9	1.27e-11	4.08e-09	Recombinational repair
Process	5	1.37e-11	4.3e-09	DNA ligation involved in DNA repair
RCTM	6	3.25e-11	4.37e-09	PCNA-Dependent Long Patch Base Excision Repair
NetworkNeighborAL	5	1.37e-11	4.48e-09	Nonhomologous end joining complex
Process	6	1.49e-11	4.57e-09	V(D)J recombination
RCTM	5	4.29e-11	5.44e-09	APEX1-Independent Resolution of AP Sites via the Single Nucleotide Replacement Pathway
Keyword	5	6.96e-11	5.85e-09	Xeroderma pigmentosum
DISEASES	19	9.35e-12	8.6e-09	Syndrome
COMPARTMENTS	5	1.08e-10	1.78e-08	DNA-dependent protein kinase complex
Process	8	6.15e-11	1.82e-08	Cellular response to UV
DISEASES	5	2.51e-11	1.92e-08	Xeroderma pigmentosum variant type
Process	5	6.96e-11	2.02e-08	Nucleotide-excision repair, DNA incision
Process	5	6.96e-11	2.02e-08	Immunoglobulin V(D)J recombination
Process	10	7.88e-11	2.21e-08	Regulation of DNA repair
Process	15	9.52e-11	2.62e-08	Immune system development
SMART	6	4.13e-11	3.39e-08	Breast cancer carboxy-terminal domain
RCTM	7	3.04e-10	3.65e-08	Dual incision in TC-NER
Keyword	7	4.92e-10	3.67e-08	Nucleotidyltransferase
HPO	9	9.53e-12	3.88e-08	Telangiectasia
COMPARTMENTS	7	2.75e-10	4.21e-08	Site of double-strand break
HPO	6	1.49e-11	4.53e-08	Poikiloderma
HPO	6	1.49e-11	4.53e-08	Entropion
Process	11	1.73e-10	4.68e-08	Regulation of response to DNA damage stimulus
NetworkNeighborAL	5	1.62e-10	4.94e-08	Nucleotide-excision repair complex, and XPG/Rad2 endonuclease, eukaryotes
Function	34	1.52e-10	6.25e-08	Catalytic activity
Process	6	2.51e-10	6.45e-08	Response to X-ray
HPO	6	3.25e-11	6.61e-08	Conjunctival telangiectasia
HPO	9	4.23e-11	7.37e-08	Dry skin
HPO	8	5.2e-11	7.93e-08	Dermal atrophy
Process	5	3.32e-10	8.41e-08	UV protection
HPO	5	6.96e-11	8.79e-08	Flat nasal alae
DISEASES	5	1.62e-10	9.3e-08	Cockayne syndrome
HPO	7	1.03e-10	1.14e-07	Telangiectasia of the skin
Component	33	9.53e-10	1.22e-07	Protein-containing complex
COMPARTMENTS	13	9.8e-10	1.41e-07	Nucleolus
Function	6	4.12e-10	1.56e-07	Endodeoxyribonuclease activity
Function	5	4.59e-10	1.62e-07	DNA N-glycosylase activity
NetworkNeighborAL	5	6.22e-10	1.78e-07	Mixed, incl. Xeroderma pigmentosum variant type, and Rad18-like CCHC zinc finger
Function	8	5.65e-10	1.86e-07	Endonuclease activity
Function	5	6.22e-10	1.92e-07	Mismatched DNA binding
Process	11	8.24e-10	2.02e-07	Response to oxidative stress
HPO	7	2.01e-10	2.05e-07	Melanoma
RCTM	4	1.79e-09	2.05e-07	Resolution of AP sites via the single-nucleotide replacement pathway
HPO	7	2.01e-10	2.05e-07	Keratitis
Component	4	1.79e-09	2.16e-07	DNA-dependent protein kinase-DNA ligase 4 complex
Component	14	1.99e-09	2.27e-07	Intracellular protein-containing complex
COMPARTMENTS	4	1.79e-09	2.43e-07	DNA-dependent protein kinase-DNA ligase 4 complex
Function	7	9.15e-10	2.65e-07	Exonuclease activity
HPO	9	3.57e-10	2.9e-07	Neoplasm of the skin
RCTM	8	2.7e-09	2.93e-07	HIV Life Cycle
COMPARTMENTS	32	2.39e-09	3.06e-07	Protein-containing complex
DISEASES	28	6.31e-10	3.22e-07	Genetic disease
Process	15	1.4e-09	3.39e-07	Nucleobase-containing compound biosynthetic process
Process	8	1.44e-09	3.41e-07	DNA-templated DNA replication
HPO	5	4.59e-10	3.5e-07	Defective DNA repair after ultraviolet radiation damage
Keyword	4	5.36e-09	3.6e-07	Cockayne syndrome
Keyword	12	6.97e-09	4.26e-07	Magnesium
HPO	5	6.22e-10	4.31e-07	Ankyloblepharon
HPO	8	6.01e-10	4.31e-07	Abnormal conjunctiva morphology
HPO	6	7.53e-10	4.83e-07	Freckling
HPO	10	8.64e-10	5.27e-07	Neoplasm by histology
Process	8	2.7e-09	6.31e-07	Negative regulation of DNA metabolic process
RCTM	5	7.48e-09	7.77e-07	Gap-filling DNA repair synthesis and ligation in GG-NER
Function	46	2.88e-09	7.89e-07	Binding
HPO	14	1.41e-09	8.15e-07	Neoplasm
DISEASES	4	1.79e-09	8.23e-07	Xeroderma pigmentosum group C
COMPARTMENTS	25	7.88e-09	8.24e-07	Intracellular non-membrane-bounded organelle
RCTM	4	8.4e-09	8.34e-07	2-LTR circle formation
HPO	6	1.9e-09	1.01e-06	Neoplasm of the eye
HPO	16	2.41e-09	1.22e-06	Abnormal reproductive system morphology
Function	5	6.25e-09	1.62e-06	Exodeoxyribonuclease activity, producing 5-phosphomonoesters
RCTM	4	1.81e-08	1.73e-06	Displacement of DNA glycosylase by APEX1
HPO	6	3.78e-09	1.78e-06	Ectropion
Keyword	4	4.6e-08	2.57e-06	DNA synthesis
Process	7	1.2e-08	2.68e-06	Double-strand break repair via homologous recombination
COMPARTMENTS	7	2.98e-08	2.74e-06	Serine/threonine protein kinase complex
Process	5	1.69e-08	3.73e-06	Mismatch repair
Function	7	1.68e-08	3.76e-06	Single-stranded DNA binding
HPO	13	9.11e-09	3.97e-06	Neoplasm by anatomical site
RCTM	5	4.94e-08	4.34e-06	DNA Damage Recognition in GG-NER
HPO	11	1.05e-08	4.44e-06	Abnormal cellular physiology
Process	4	2.54e-08	5.45e-06	Transcription-coupled nucleotide-excision repair
WikiPathways	7	5.55e-08	6.19e-06	Male infertility
RCTM	4	7.7e-08	6.28e-06	Mismatch repair (MMR) directed by MSH2:MSH3 (MutSbeta)
RCTM	4	9.74e-08	7.67e-06	Processive synthesis on the lagging strand
HPO	5	1.96e-08	7.71e-06	Craniofacial hyperostosis
Process	9	3.71e-08	7.86e-06	Positive regulation of DNA metabolic process
HPO	14	2.24e-08	8.54e-06	Abnormality of the male genitalia
Keyword	5	1.75e-07	9.04e-06	Exonuclease
Process	4	4.6e-08	9.61e-06	Base-excision repair, AP site formation
Process	4	4.6e-08	9.61e-06	Somatic hypermutation of immunoglobulin genes
Function	4	6e-08	1.23e-05	DNA-(apurinic or apyrimidinic site) endonuclease activity
Keyword	4	2.65e-07	1.27e-05	SCID
COMPARTMENTS	4	1.5e-07	1.28e-05	Enzyme activator complex
HPO	5	3.86e-08	1.39e-05	Pterygium
HPO	6	4.04e-08	1.4e-05	Opacification of the corneal stroma
HPO	10	4.01e-08	1.4e-05	Peripheral neuropathy
HPO	6	4.34e-08	1.43e-05	Conjunctivitis
HPO	8	4.83e-08	1.55e-05	Photophobia
RCTM	4	2.21e-07	1.63e-05	Processive synthesis on the C-strand of the telomere
Function	11	8.68e-08	1.71e-05	Chromatin binding
Function	20	8.7e-08	1.71e-05	Hydrolase activity
Keyword	16	3.87e-07	1.73e-05	Hydrolase
COMPARTMENTS	14	2.2e-07	1.81e-05	Nucleoplasm
Component	3	2.36e-07	2.1e-05	DNA ligase IV complex
Component	3	2.36e-07	2.1e-05	XPC complex
HPO	4	7.7e-08	2.24e-05	Bird-like facies
Component	6	2.79e-07	2.29e-05	Serine/threonine protein kinase complex
HPO	10	8.56e-08	2.43e-05	Hypoplastic male external genitalia
HPO	5	8.72e-08	2.43e-05	Blepharitis
HPO	8	8.98e-08	2.44e-05	Fever
Component	13	3.16e-07	2.49e-05	Nucleolus
Keyword	6	6.26e-07	2.63e-05	Nuclease
WikiPathways	5	2.72e-07	2.66e-05	DNA IR-double strand breaks and cellular response via ATM
Keyword	19	6.76e-07	2.67e-05	Ubl conjugation
HPO	16	1.11e-07	2.88e-05	Abnormality of the nose
HPO	9	1.2e-07	3.02e-05	Abnormality of temperature regulation
HPO	5	1.19e-07	3.02e-05	Basal cell carcinoma
Component	3	4.11e-07	3.12e-05	DNA-dependent protein kinase complex
Process	6	1.63e-07	3.28e-05	DNA modification
Keyword	16	8.99e-07	3.36e-05	Isopeptide bond
COMPARTMENTS	7	4.46e-07	3.54e-05	protein-DNA complex
HPO	13	1.51e-07	3.6e-05	Abnormality of male external genitalia
HPO	6	1.54e-07	3.62e-05	Erythema
KEGG	4	4.35e-07	3.65e-05	Mismatch repair
HPO	7	1.58e-07	3.65e-05	Decreased circulating antibody level
HPO	4	1.83e-07	4.13e-05	Squamous cell carcinoma of the skin
Function	3	2.36e-07	4.3e-05	DNA ligase (ATP) activity
Function	6	2.65e-07	4.51e-05	Protein N-terminus binding
