category	number_of_genes	p_value	fdr	description
HPO	27	1.61e-16	8.79e-15	Morphological abnormality of the gastrointestinal tract
HPO	27	1.32e-17	7.88e-16	Abnormal calvaria morphology
HPO	27	2.52e-19	1.82e-17	Abnormal lower limb bone morphology
HPO	27	8.33e-16	4.2e-14	Abnormal joint morphology
HPO	27	1.8e-16	9.8e-15	Abnormality of digestive system morphology
HPO	27	2.4500000000000002e-32	1.57e-29	Hypermelanotic macule
HPO	27	4.22e-14	1.87e-12	Abnormality of the abdominal organs
HPO	27	3.38e-14	1.52e-12	Abnormal eyelid morphology
HPO	27	5.14e-14	2.25e-12	Abnormality of the kidney
HPO	27	5.55e-15	2.59e-13	Abnormality of finger
HPO	27	4.41e-14	1.95e-12	Abnormality of the endocrine system
HPO	26	5.02e-15	2.36e-13	Abnormality of refraction
Function	26	5e-20	2.46e-17	ATP-dependent activity
HPO	26	2.36e-18	1.53e-16	Abnormal bone structure
HPO	26	1.02e-17	6.18e-16	Abnormality of the palpebral fissures
HPO	26	1.5999999999999999e-29	5.130000000000001e-27	Weight loss
HPO	26	8.37e-15	3.88e-13	Scoliosis
HPO	26	1.0100000000000002e-21	9.46e-20	Abnormal hip bone morphology
HPO	26	7.07e-29	2.01e-26	Hematological neoplasm
HPO	25	1.3900000000000001e-21	1.28e-19	Reduced bone mineral density
HPO	25	3.93e-22	4.03e-20	Abnormal internal genitalia
HPO	25	1.68e-13	7.08e-12	Abnormal involuntary eye movements
HPO	25	9.13e-23	1.02e-20	Abnormal leukocyte count
HPO	25	1.43e-13	6.06e-12	Nystagmus
HPO	25	1.13e-13	4.88e-12	Abnormality of the forehead
HPO	25	5.0499999999999995e-25	8.000000000000001e-23	Deviation of the 5th finger
HPO	25	4.67e-25	7.489999999999999e-23	Clinodactyly of the 5th finger
HPO	25	2.4e-19	1.75e-17	Abnormal cellular immune system morphology
HPO	25	6.53e-14	2.84e-12	Strabismus
HPO	25	1.26e-12	5.02e-11	Abnormal palate morphology
HPO	25	4.24e-23	4.9900000000000006e-21	Abnormal morphology of female internal genitalia
HPO	25	2.43e-12	9.5e-11	Abnormal respiratory system morphology
HPO	25	1.37e-18	9.08e-17	Abnormality of lower limb joint
HPO	25	1.37e-18	9.08e-17	Abnormal bone ossification
HPO	25	4.46e-16	2.3e-14	Recurrent infections
HPO	25	1.92e-23	2.3400000000000003e-21	Hypogonadism
HPO	25	4.65e-17	2.64e-15	Abnormality of the lower urinary tract
HPO	25	1.01e-15	5.05e-14	Unusual infection
HPO	25	1.67e-32	1.2500000000000001e-29	Cafe-au-lait spot
HPO	25	1.44e-17	8.48e-16	Cryptorchidism
HPO	25	1.34e-17	7.96e-16	Cleft palate
HPO	25	6.84e-18	4.19e-16	Slanting of the palpebral fissure
HPO	25	4.49e-18	2.82e-16	Abnormality of toe
HPO	25	3.16e-18	2.01e-16	Aplasia/hypoplasia involving bones of the extremities
HPO	25	4.08e-42	4.98e-38	Abnormality of chromosome stability
HPO	24	1.08e-12	4.33e-11	Abnormality of the urinary system physiology
HPO	24	1.07e-15	5.31e-14	Abnormal intestine morphology
HPO	24	1.11e-13	4.82e-12	Abnormal renal morphology
HPO	24	6.7e-17	3.77e-15	Abnormal penis morphology
HPO	24	2.71e-18	1.75e-16	Aplasia/hypoplasia involving bones of the upper limbs
HPO	24	2.67e-23	3.23e-21	Joint dislocation
HPO	24	1.14e-11	4.32e-10	Abnormal reflex
HPO	24	1.1799999999999999e-23	1.4800000000000002e-21	Abnormal hip joint morphology
HPO	24	1.7599999999999998e-24	2.47e-22	Abnormality of globe size
HPO	23	4.33e-15	2.04e-13	Cataract
HPO	23	1e-12	4.04e-11	Abnormality of globe location
HPO	23	1.02e-17	6.18e-16	Aplasia/hypoplasia involving bones of the hand
HPO	23	4.94e-27	1.0999999999999998e-24	Abnormal morphology of the radius
HPO	23	2.52e-26	5.3e-24	Functional abnormality of male internal genitalia
HPO	23	6.26e-31	2.73e-28	Anal atresia
HPO	23	2.48e-31	1.21e-28	Abnormality of the choanae
HPO	23	4.28e-25	6.969999999999999e-23	Hip dislocation
HPO	23	3.45e-15	1.65e-13	High palate
HPO	23	1.14e-14	5.25e-13	Abnormal cornea morphology
HPO	23	1.56e-13	6.57e-12	Abnormal cerebral ventricle morphology
HPO	23	1.39e-20	1.18e-18	Syndactyly
HPO	23	2.21e-17	1.3e-15	Anemia
HPO	23	3.64e-12	1.41e-10	Abnormality of the liver
HPO	23	4.2099999999999996e-23	4.9900000000000006e-21	Abnormal size of the palpebral fissures
Function	23	3.6100000000000003e-31	5.93e-28	ATP-dependent activity, acting on DNA
HPO	23	9.919999999999999e-23	1.1e-20	Abnormal tracheobronchial morphology
HPO	23	7.29e-23	8.240000000000001e-21	Anorectal anomaly
HPO	23	2.43e-22	2.58e-20	Hypospadias
HPO	23	4.02e-24	5.34e-22	Microphthalmia
HPO	22	3.66e-30	1.2900000000000002e-27	Choanal atresia
HPO	22	5.16e-32	3e-29	Aplasia/Hypoplasia of the radius
Function	22	1.08e-28	1.33e-25	Single-stranded DNA binding
HPO	22	1.8e-25	3.09e-23	Hypopigmentation of the skin
HPO	22	2.04e-30	7.76e-28	Myelodysplasia
HPO	22	2.48e-30	9.17e-28	Recurrent urinary tract infections
HPO	22	4.78e-22	4.86e-20	Ocular anterior segment dysgenesis
HPO	22	5.41e-24	7.03e-22	Toe syndactyly
HPO	22	2.77e-29	8.68e-27	Abnormal spermatogenesis
HPO	22	4.27e-26	8.27e-24	Abnormal uvula morphology
HPO	22	3.77e-26	7.55e-24	Sloping forehead
HPO	22	3.34e-18	2.11e-16	Abnormal systemic arterial morphology
HPO	22	1.3600000000000002e-26	2.91e-24	Abnormal esophagus morphology
HPO	22	4.0400000000000005e-27	9.13e-25	Abnormal localization of kidney
HPO	22	2.75e-17	1.61e-15	Abnormal uvea morphology
HPO	22	4.78e-22	4.86e-20	Abnormality of the ureter
HPO	22	4.2400000000000004e-33	3.98e-30	Forearm undergrowth
HPO	22	2.96e-20	2.41e-18	Aplasia/Hypoplasia of fingers
HPO	22	4.92e-20	3.85e-18	Abnormal platelet count
HPO	22	2.32e-12	9.1e-11	Abnormality of prenatal development or birth
HPO	22	3.89e-21	3.52e-19	Renal insufficiency
HPO	22	3.48e-22	3.6e-20	Abnormality of femur morphology
HPO	22	1.54e-20	1.29e-18	Thrombocytopenia
HPO	22	9.51e-25	1.4100000000000001e-22	Anemia (phenotype)
HPO	22	1.87e-19	1.39e-17	Hydrocephalus
HPO	22	5e-14	2.2e-12	Hyperreflexia
HPO	22	1.29e-23	1.6e-21	Proptosis
HPO	22	2.68e-15	1.29e-13	Abnormal cardiac septum morphology
HPO	22	1.66e-19	1.24e-17	Abnormality of the peripheral nervous system
HPO	22	8.07e-20	6.11e-18	Abnormal thumb morphology
HPO	22	1.81e-22	1.94e-20	Decreased fertility
HPO	21	1.86e-13	7.81e-12	Ventriculomegaly
DISEASES	21	8.64e-39	3.9700000000000004e-35	Fanconi anemia
HPO	21	5.73e-13	2.35e-11	Hypertelorism
HPO	21	1.52e-32	1.2500000000000001e-29	Multiple cafe-au-lait spots
HPO	21	7.82e-29	2.1700000000000002e-26	Aplasia/Hypoplasia of the iris
HPO	21	5.26e-13	2.16e-11	Ptosis
HPO	21	2.42e-28	6.42e-26	Hypopigmented skin patches
HPO	21	8.27e-38	5.05e-34	Duodenal stenosis
HPO	21	5.29e-29	1.54e-26	Spina bifida
HPO	21	4.33e-29	1.2900000000000001e-26	Azoospermia
HPO	21	6.33e-16	3.2e-14	Cardiomyopathy
HPO	21	5.08e-14	2.23e-12	Abnormal morphology of the great vessels
HPO	21	4.91e-16	2.53e-14	Epicanthus
HPO	21	2.39e-33	2.43e-30	Hypoplasia of the ulna
HPO	21	1.34e-20	1.14e-18	Upslanted palpebral fissure
HPO	21	2.83e-21	2.57e-19	Astigmatism
HPO	21	6.22e-22	6.06e-20	Abnormality of the autonomic nervous system
HPO	21	3.21e-20	2.6e-18	Cranial nerve paralysis
HPO	21	3.81e-19	2.7e-17	Pes planus
HPO	21	1.44e-25	2.51e-23	Clubbing
HPO	21	9.7e-25	1.43e-22	Dolichocephaly
HPO	21	1.36e-18	9.08e-17	Frontal bossing
HPO	21	5.53e-19	3.84e-17	Abnormality of the hypothalamus-pituitary axis
HPO	21	2.14e-25	3.58e-23	Aplasia/Hypoplasia of the testes
HPO	21	6.65e-19	4.56e-17	Abnormality of the curvature of the cornea
HPO	21	1.44e-18	9.48e-17	Abnormal shape of the frontal region
HPO	21	3.62e-26	7.35e-24	Decreased fertility in males
HPO	21	5.29e-18	3.3e-16	Atrial septal defect
HPO	21	2.71e-27	6.24e-25	Facial asymmetry
HPO	20	1.75e-35	3.06e-32	Abnormal preputium morphology
HPO	20	1.2e-36	2.92e-33	Absent testis
HPO	20	1.75e-35	3.06e-32	Clubbing of toes
HPO	20	6.46e-25	1.01e-22	Short palpebral fissure
HPO	20	1.2e-36	2.92e-33	Aplasia/Hypoplasia of the uvula
HPO	20	5.04e-20	3.91e-18	Abnormal umbilicus morphology
HPO	20	1.3500000000000001e-27	3.24e-25	Leukopenia
HPO	20	6.07e-28	1.51e-25	External ear malformation
HPO	20	2.89e-20	2.38e-18	Umbilical hernia
HPO	20	7.44e-25	1.15e-22	Tetralogy of Fallot
HPO	20	8.57e-25	1.29e-22	Abnormal ureter morphology
WikiPathways	20	2.76e-31	7.19e-29	DNA IR-double strand breaks and cellular response via ATM
HPO	20	1.17e-19	8.81e-18	Patent ductus arteriosus
HPO	20	5.33e-21	4.78e-19	Abnormal ventriculoarterial connection
HPO	20	1.2999999999999998e-24	1.87e-22	Abnormal tracheal morphology
HPO	20	3.32e-24	4.5100000000000005e-22	Oligohydramnios
HPO	20	3.0500000000000003e-22	3.18e-20	Finger syndactyly
HPO	20	4.8499999999999996e-23	5.53e-21	Abnormality of bone marrow cell morphology
HPO	20	8.01e-20	6.11e-18	Hypertrophic cardiomyopathy
HPO	20	3.6500000000000003e-37	1.11e-33	Pyridoxine-responsive sideroblastic anemia
HPO	20	1.85e-34	2.26e-31	Almond-shaped palpebral fissure
HPO	20	3.74e-31	1.75e-28	Meckel diverticulum
HPO	20	2.74e-18	1.76e-16	Abnormal aortic morphology
HPO	20	7.850000000000001e-26	1.47e-23	Aganglionic megacolon
HPO	20	4.68e-30	1.59e-27	Tracheoesophageal fistula
HPO	20	3.59e-30	1.2900000000000002e-27	Triphalangeal thumb
HPO	20	7.850000000000001e-26	1.47e-23	Abnormality of enteric ganglion morphology
HPO	20	1.2599999999999999e-25	2.2199999999999997e-23	Abnormal aortic valve morphology
HPO	20	2.21e-16	1.18e-14	Congenital malformation of the great arteries
HPO	20	5.03e-31	2.27e-28	Abnormal carotid artery morphology
HPO	20	2.69e-16	1.42e-14	Abdominal wall defect
HPO	20	1.3e-29	4.3e-27	Hydroureter
HPO	20	2.03e-31	1.03e-28	Arteriovenous malformation
HPO	20	1.44e-32	1.2500000000000001e-29	Obsolete Abnormality of the ulna
HPO	20	4.05e-32	2.4700000000000002e-29	Bicornuate uterus
HPO	20	4.29e-19	3.01e-17	Renal hypoplasia/aplasia
HPO	19	1.2500000000000001e-22	1.37e-20	Abnormality of multiple cell lineages in the bone marrow
WikiPathways	18	5.56e-26	1.0899999999999999e-23	DNA damage response
WikiPathways	18	8.710000000000001e-26	1.36e-23	miRNA regulation of DNA damage response
Function	16	1.88e-22	1.03e-19	Damaged DNA binding
Function	16	1.63e-12	3.83e-10	ATP hydrolysis activity
HPO	16	1.94e-19	1.43e-17	Aplasia/Hypoplasia of the thumb
HPO	15	2.65e-25	4.37e-23	Chromosome breakage
WikiPathways	15	2.27e-15	1.97e-13	Primary ovarian insufficiency
Function	15	2.25e-14	8.53e-12	Nuclease activity
DISEASES	14	2.24e-13	7.92e-11	Female reproductive system disease
HPO	13	5.83e-16	2.97e-14	Short thumb
WikiPathways	13	4.77e-20	6.21e-18	ATM signaling pathway
DISEASES	13	4.93e-15	2.06e-12	Ovarian disease
DISEASES	13	6.66e-18	6.12e-15	Breast cancer
WikiPathways	12	2.41e-15	1.97e-13	Nucleotide excision repair in xeroderma pigmentosum 
HPO	12	6.85e-14	2.98e-12	Pancytopenia
HPO	12	8.45e-18	5.15e-16	Absent thumb
HPO	12	4.38e-16	2.29e-14	Neoplasm of the breast
HPO	11	3.49e-15	1.66e-13	Bone marrow hypocellularity
Function	11	3.49e-15	1.57e-12	Deoxyribonuclease activity
Function	11	1.58e-14	6.5e-12	DNA helicase activity
DISEASES	11	4.18e-15	1.92e-12	Ovarian cancer
HPO	11	3.49e-15	1.66e-13	Breast carcinoma
WikiPathways	11	5.99e-16	5.85e-14	ATM signaling in development and disease 
WikiPathways	9	1.23e-12	6.84e-11	Integrated cancer pathway
Function	9	3.12e-13	9.63e-11	Telomeric DNA binding
Function	9	1.62e-13	5.69e-11	Endodeoxyribonuclease activity
WikiPathways	9	1.52e-17	1.69e-15	ATR signaling
HPO	9	2.88e-17	1.67e-15	Chromosomal breakage induced by crosslinking agents
WikiPathways	9	1.23e-12	6.84e-11	Nucleotide excision repair
Function	8	1.72e-13	5.69e-11	ATP-dependent DNA damage sensor activity
WikiPathways	8	1.61e-14	1.14e-12	Homologous recombination
WikiPathways	8	6.03e-13	3.92e-11	DNA mismatch repair
DISEASES	7	7.03e-14	2.69e-11	Hereditary breast ovarian cancer syndrome
HPO	7	9.48e-12	3.62e-10	Abnormal fallopian tube morphology
WikiPathways	7	6.43e-13	3.92e-11	SMC1/SMC3 role in DNA damage - Cornelia de Lange Syndrome
HPO	6	4.76e-12	1.84e-10	Primary peritoneal carcinoma
