category	number_of_genes	p_value	fdr	description
HPO	32	2.54e-27	1.09e-24	Abnormal soft palate morphology
HPO	43	2.9400000000000004e-27	1.18e-24	Abnormal cellular physiology
HPO	24	2.9e-27	1.18e-24	Forearm undergrowth
HPO	23	3.3500000000000006e-27	1.2799999999999999e-24	Multiple cafe-au-lait spots
HPO	26	3.66e-27	1.3499999999999999e-24	Myelodysplasia
HPO	29	4.4600000000000006e-27	1.5999999999999999e-24	Aplasia/Hypoplasia of the testes
HPO	38	6.2600000000000005e-27	2.18e-24	Hypogonadism
HPO	22	1.5600000000000002e-26	5e-24	Hypoplasia of the ulna
HPO	39	2.3800000000000001e-26	7.44e-24	Deviation of finger
DISEASES	23	4.5700000000000005e-27	1.0499999999999999e-23	Congenital hypoplastic anemia
Function	44	5.39e-26	2.4199999999999998e-23	ATP-dependent activity
HPO	55	8.53e-26	2.4799999999999997e-23	Abnormality of the male genitalia
HPO	21	9.56e-26	2.71e-23	Bicornuate uterus
HPO	40	3.0099999999999997e-25	7.989999999999999e-23	Clinodactyly
HPO	29	3.72e-25	9.67e-23	Hypopigmentation of the skin
HPO	27	4.16e-25	1.06e-22	Cafe-au-lait spot
HPO	21	5e-25	1.24e-22	Arteriovenous malformation
HPO	39	5.84e-25	1.43e-22	Abnormality of the female genitalia
HPO	57	6.94e-25	1.66e-22	Microcephaly
HPO	24	8.45e-25	1.95e-22	Spina bifida
HPO	28	9.18e-25	2.07e-22	Sloping forehead
HPO	21	9.33e-25	2.07e-22	Meckel diverticulum
HPO	57	9.84e-25	2.14e-22	Decreased head circumference
WikiPathways	17	3.96e-24	2.38e-22	DNA mismatch repair
WikiPathways	19	4.53e-24	2.5300000000000003e-22	ATM signaling pathway
HPO	21	1.2699999999999999e-24	2.71e-22	Abnormal carotid artery morphology
HPO	22	1.32e-24	2.74e-22	Hydroureter
HPO	24	1.2999999999999998e-24	2.74e-22	Aplasia/Hypoplasia of the iris
HPO	58	2.32e-24	4.56e-22	Short stature
HPO	34	2.73e-24	5.29e-22	Joint dislocation
HPO	57	3.4099999999999995e-24	6.41e-22	Abnormal reproductive system morphology
HPO	60	3.55e-24	6.56e-22	Abnormality of body height
HPO	49	4.53e-24	8.25e-22	Abnormal testis morphology
HPO	31	6.75e-24	1.21e-21	Microphthalmia
HPO	44	7.61e-24	1.3300000000000001e-21	Cryptorchidism
HPO	33	9.159999999999999e-24	1.57e-21	Hypospadias
HPO	21	9.47e-24	1.6e-21	Triphalangeal thumb
HPO	32	1.2099999999999999e-23	2.0200000000000003e-21	Abnormality of globe size
HPO	21	1.2399999999999999e-23	2.0500000000000003e-21	Tracheoesophageal fistula
HPO	52	1.2399999999999999e-23	2.0500000000000003e-21	Abnormality of male external genitalia
HPO	24	1.47e-23	2.36e-21	Abnormality of the choanae
HPO	60	2.1699999999999998e-23	3.39e-21	Aplasia/Hypoplasia of the cerebrum
HPO	41	2.4899999999999998e-23	3.850000000000001e-21	Puberty and gonadal disorders
HPO	61	3.2000000000000003e-23	4.8800000000000004e-21	Abnormality of the genital system
HPO	24	3.75e-23	5.5100000000000004e-21	Anal atresia
Function	20	1.54e-23	6.34e-21	Deoxyribonuclease activity
HPO	59	4.78e-23	6.95e-21	Decreased body weight
HPO	23	5.34e-23	7.670000000000001e-21	Recurrent urinary tract infections
HPO	23	7.929999999999999e-23	1.11e-20	Choanal atresia
HPO	44	7.929999999999999e-23	1.11e-20	Micrognathia
HPO	44	8.4e-23	1.15e-20	Aplasia/Hypoplasia of the mandible
HPO	24	1.1e-22	1.48e-20	Abnormal uterus morphology
Function	26	4.38e-23	1.66e-20	Helicase activity
HPO	34	1.27e-22	1.71e-20	Abnormality of the urethra
HPO	44	1.94e-22	2.55e-20	Abnormal long bone morphology
HPO	25	3.01e-22	3.9e-20	Clubbing
HPO	22	3.44e-22	4.42e-20	Azoospermia
HPO	46	3.55e-22	4.51e-20	Abnormal calvaria morphology
HPO	59	4.19e-22	5.27e-20	Abnormality of skull size
HPO	24	4.23e-22	5.27e-20	Short palpebral fissure
Function	16	1.82e-22	6.4e-20	DNA-directed DNA polymerase activity
DISEASES	16	6.31e-23	7.25e-20	Xeroderma pigmentosum
DISEASES	69	6.53e-23	7.25e-20	Autosomal recessive disease
HPO	43	6.1000000000000005e-22	7.51e-20	Abnormality of reproductive system physiology
HPO	23	6.15e-22	7.51e-20	Abnormal spermatogenesis
Function	28	2.34e-22	7.7e-20	Nuclease activity
HPO	24	9.46e-22	1.14e-19	Abnormal tracheal morphology
HPO	23	1.04e-21	1.24e-19	Abnormal morphology of ulna
HPO	23	1.24e-21	1.46e-19	Facial asymmetry
HPO	26	1.4700000000000001e-21	1.73e-19	Abnormal morphology of the radius
HPO	21	1.78e-21	2.07e-19	External ear malformation
HPO	62	1.82e-21	2.1e-19	Growth delay
HPO	62	2.4400000000000002e-21	2.78e-19	Aplasia/Hypoplasia involving the central nervous system
HPO	42	2.51e-21	2.84e-19	Abnormal lower limb bone morphology
HPO	30	3.2100000000000004e-21	3.59e-19	Anorectal anomaly
HPO	21	4.040000000000001e-21	4.48e-19	Leukopenia
HPO	16	4.4900000000000005e-21	4.94e-19	Chromosome breakage
HPO	24	5.8200000000000005e-21	6.34e-19	Abnormal localization of kidney
HPO	61	6.430000000000001e-21	6.94e-19	Abnormality of body weight
HPO	33	7.83e-21	8.38e-19	Abnormal leukocyte count
HPO	22	8.28e-21	8.78e-19	Abnormality of the phalanges of the toes
HPO	26	8.52e-21	8.96e-19	Functional abnormality of male internal genitalia
WikiPathways	17	1.99e-20	1.04e-18	Integrated cancer pathway
HPO	23	1.03e-20	1.05e-18	Abnormal ureter morphology
HPO	26	1.22e-20	1.24e-18	Limb undergrowth
HPO	46	1.56e-20	1.56e-18	Abnormal mandible morphology
HPO	24	2.07e-20	2.05e-18	Abnormal esophagus morphology
HPO	25	3.55e-20	3.49e-18	Abnormality of the anus
HPO	43	3.64e-20	3.55e-18	Localized skin lesion
HPO	27	4.12e-20	3.99e-18	Abnormality of the spinal cord
DISEASES	55	5.610000000000001e-21	4.3e-18	Syndrome
HPO	33	4.75e-20	4.56e-18	Abnormal internal genitalia
HPO	39	4.81e-20	4.59e-18	Abnormal penis morphology
Function	60	1.63e-20	4.74e-18	ATP binding
HPO	18	8.12e-20	7.68e-18	Melanoma
HPO	39	1.59e-19	1.49e-17	Aplasia/hypoplasia of the extremities
HPO	40	1.63e-19	1.51e-17	Abnormality of the lower urinary tract
HPO	38	1.75e-19	1.6e-17	Aplasia/hypoplasia involving bones of the extremities
HPO	48	1.84e-19	1.68e-17	Aplasia/hypoplasia involving the skeleton
HPO	39	1.87e-19	1.69e-17	Cleft palate
HPO	33	2.24e-19	2.01e-17	Reduced bone mineral density
HPO	21	2.49e-19	2.22e-17	Aganglionic megacolon
HPO	21	2.49e-19	2.22e-17	Abnormality of enteric ganglion morphology
HPO	36	2.93e-19	2.53e-17	Abnormal leukocyte morphology
HPO	36	2.93e-19	2.53e-17	Abnormal cellular immune system morphology
HPO	22	3.1e-19	2.65e-17	Decreased fertility in males
HPO	21	4.02e-19	3.4e-17	Abnormal aortic valve morphology
HPO	49	4.98e-19	4.19e-17	Abnormal facial skeleton morphology
HPO	28	5.66e-19	4.73e-17	Abnormal tracheobronchial morphology
HPO	39	5.88e-19	4.88e-17	Abnormal bone structure
HPO	23	5.96e-19	4.92e-17	Dolichocephaly
HPO	27	6.49e-19	5.31e-17	Abnormality of femur morphology
HPO	70	7.22e-19	5.83e-17	Growth abnormality
HPO	22	7.23e-19	5.83e-17	Oligohydramnios
HPO	63	8.68e-19	6.92e-17	Abnormal cerebral morphology
HPO	27	9.37e-19	7.42e-17	Ocular anterior segment dysgenesis
Function	70	5.13e-19	1.26e-16	Nucleotide binding
HPO	24	1.72e-18	1.34e-16	Anemia (phenotype)
HPO	44	2.11e-18	1.62e-16	Abnormal hand morphology
Function	15	7.41e-19	1.66e-16	Endodeoxyribonuclease activity
HPO	27	2.29e-18	1.74e-16	Abnormal size of the palpebral fissures
HPO	21	2.42e-18	1.82e-16	Tetralogy of Fallot
HPO	30	2.67e-18	2e-16	Abnormal morphology of female internal genitalia
Function	116	1.29e-18	2.78e-16	Catalytic activity
HPO	17	4e-18	2.96e-16	Neoplasm of the breast
HPO	48	4.56e-18	3.35e-16	Abnormality of the endocrine system
HPO	23	6.5e-18	4.75e-16	Finger syndactyly
HPO	25	7.79e-18	5.62e-16	Umbilical hernia
HPO	24	8.48e-18	6.09e-16	Abnormality of the small intestine
HPO	54	8.6e-18	6.14e-16	Abnormality of the gastrointestinal tract
HPO	26	1.01e-17	7.15e-16	Abnormality of the ureter
HPO	24	1.04e-17	7.33e-16	Toe syndactyly
HPO	28	1.16e-17	8.16e-16	Aplasia/Hypoplasia of fingers
HPO	29	1.17e-17	8.17e-16	Hydrocephalus
HPO	26	1.2e-17	8.32e-16	Upslanted palpebral fissure
HPO	25	1.5e-17	1.03e-15	Abnormal umbilicus morphology
HPO	69	1.63e-17	1.12e-15	Abnormality of brain morphology
HPO	35	2.12e-17	1.44e-15	Abnormal bone ossification
HPO	24	2.54e-17	1.72e-15	Hip dislocation
HPO	24	2.54e-17	1.72e-15	Proptosis
HPO	50	2.66e-17	1.78e-15	Abnormal ocular adnexa morphology
HPO	45	2.71e-17	1.81e-15	Abnormality of finger
HPO	39	2.92e-17	1.93e-15	Recurrent infections
Function	36	1.17e-17	2.41e-15	Chromatin binding
HPO	71	3.82e-17	2.52e-15	Morphological central nervous system abnormality
HPO	28	4.12e-17	2.7e-15	Abnormal breast morphology
HPO	33	4.25e-17	2.77e-15	Anemia
HPO	43	4.86e-17	3.12e-15	Abnormal joint morphology
HPO	27	5.1e-17	3.26e-15	Thrombocytopenia
HPO	67	5.95e-17	3.78e-15	Abnormality of the genitourinary system
HPO	19	6.12e-17	3.87e-15	Aplasia/Hypoplasia of the thumb
HPO	52	6.34e-17	3.99e-15	Abnormality of immune system physiology
HPO	63	6.47e-17	4.05e-15	Abnormal skull morphology
HPO	73	7.23e-17	4.5e-15	Abnormal skeletal morphology
HPO	54	7.87e-17	4.87e-15	Abnormality of limb bone morphology
Function	182	2.51e-17	4.95e-15	Binding
HPO	75	8.08e-17	4.96e-15	Abnormality of the skeletal system
HPO	67	8.73e-17	5.33e-15	Abnormal axial skeleton morphology
HPO	39	9.45e-17	5.73e-15	Unusual infection
DISEASES	78	1.01e-17	5.82e-15	Autosomal genetic disease
HPO	54	1.08e-16	6.47e-15	Abnormality of the nose
HPO	45	1.1e-16	6.59e-15	Abnormal pinna morphology
Function	28	4.43e-17	8.4e-15	ATP hydrolysis activity
WikiPathways	11	1.79e-16	8.71e-15	Homologous recombination
HPO	28	1.56e-16	9.24e-15	Syndactyly
HPO	72	1.56e-16	9.24e-15	Abnormal nervous system morphology
HPO	20	1.58e-16	9.25e-15	Abnormality of multiple cell lineages in the bone marrow
HPO	21	1.6e-16	9.37e-15	Abnormality of bone marrow cell morphology
HPO	27	1.93e-16	1.11e-14	Abnormal platelet count
HPO	24	2.3e-16	1.32e-14	Astigmatism
HPO	22	2.35e-16	1.35e-14	Abnormality of thumb phalanx
HPO	25	3.27e-16	1.85e-14	Cranial nerve paralysis
HPO	24	3.84e-16	2.16e-14	Decreased fertility
WikiPathways	21	4.83e-16	2.22e-14	Primary ovarian insufficiency
HPO	25	4.49e-16	2.51e-14	Neoplasm by histology
WikiPathways	14	6.07e-16	2.63e-14	ATM signaling in development and disease 
HPO	49	5.2e-16	2.89e-14	Abnormal digit morphology
HPO	32	6.1e-16	3.35e-14	Aplasia/hypoplasia involving bones of the upper limbs
HPO	56	6.84e-16	3.74e-14	Abnormality of skin morphology
HPO	27	7.71e-16	4.2e-14	Abnormality of the peripheral nervous system
HPO	40	8.2e-16	4.43e-14	Morphological abnormality of the gastrointestinal tract
HPO	31	8.2e-16	4.43e-14	Aplasia/hypoplasia involving bones of the hand
HPO	56	8.61e-16	4.61e-14	Abnormality of the urinary system
HPO	26	8.96e-16	4.77e-14	Abnormality of the hypothalamus-pituitary axis
HPO	40	9.54e-16	5.06e-14	Abnormality of digestive system morphology
HPO	33	9.77e-16	5.12e-14	Abnormality of lower limb joint
WikiPathways	10	1.42e-15	5.84e-14	Non-homologous end joining
HPO	18	1.27e-15	6.62e-14	Telangiectasia
HPO	53	1.28e-15	6.62e-14	Abnormality of the lower limb
HPO	49	1.3e-15	6.72e-14	Abnormality of connective tissue
Function	61	4.42e-16	7.78e-14	Purine nucleotide binding
Function	61	4.74e-16	8.07e-14	Ribonucleotide binding
HPO	25	1.63e-15	8.31e-14	Abnormal hip joint morphology
HPO	24	1.8e-15	9.17e-14	Renal hypoplasia/aplasia
HPO	26	2.53e-15	1.28e-13	Frontal bossing
HPO	26	2.7e-15	1.36e-13	Abnormal shape of the frontal region
HPO	26	2.89e-15	1.45e-13	Abnormal thumb morphology
Function	11	9.08e-16	1.49e-13	DNA replication origin binding
HPO	59	3.52e-15	1.75e-13	Abnormality of the skin
HPO	42	3.55e-15	1.76e-13	Abnormal facial shape
HPO	71	3.75e-15	1.85e-13	Abnormality of the face
HPO	31	4.35e-15	2.13e-13	Abnormal pelvic girdle bone morphology
HPO	61	4.47e-15	2.17e-13	Abnormality of limbs
HPO	27	4.67e-15	2.26e-13	Hernia of the abdominal wall
HPO	35	4.77e-15	2.3e-13	Abnormal intestine morphology
HPO	22	5.14e-15	2.47e-13	Abnormality of the autonomic nervous system
HPO	14	5.2e-15	2.49e-13	Breast carcinoma
HPO	34	5.5e-15	2.62e-13	High palate
HPO	27	5.96e-15	2.83e-13	Abdominal wall defect
HPO	35	6.4e-15	3.03e-13	Abnormality of the palpebral fissures
HPO	55	6.58e-15	3.1e-13	Abnormality of the immune system
HPO	33	6.73e-15	3.16e-13	Slanting of the palpebral fissure
Function	18	2.19e-15	3.27e-13	Nucleotidyltransferase activity
HPO	34	7.46e-15	3.49e-13	Cataract
WikiPathways	17	9.71e-15	3.79e-13	Androgen receptor network in prostate cancer
HPO	24	8.73e-15	4.06e-13	Renal insufficiency
HPO	43	1e-14	4.65e-13	Abnormal eyelid morphology
Function	18	3.24e-15	4.7e-13	Endonuclease activity
HPO	30	1.11e-14	5.14e-13	Abnormal cerebrospinal fluid morphology
HPO	23	1.15e-14	5.28e-13	Abnormal heart valve morphology
HPO	43	1.33e-14	6.11e-13	Abnormal respiratory system morphology
HPO	29	1.45e-14	6.61e-13	Abnormal hip bone morphology
DISEASES	15	1.3e-15	6.62e-13	Breast cancer
HPO	64	1.68e-14	7.63e-13	Abnormality of the integument
HPO	21	1.71e-14	7.74e-13	Abnormal ventriculoarterial connection
HPO	73	1.98e-14	8.88e-13	Abnormality of the head
HPO	42	2.29e-14	1.02e-12	Abnormal palate morphology
HPO	27	2.31e-14	1.03e-12	Abnormal systemic arterial morphology
HPO	28	2.51e-14	1.12e-12	Hernia
HPO	29	2.69e-14	1.19e-12	External genital hypoplasia
HPO	34	2.74e-14	1.2e-12	Abnormal cornea morphology
HPO	27	2.74e-14	1.2e-12	Abnormal upper limb bone morphology
WikiPathways	9	3.93e-14	1.46e-12	ATR signaling
Function	11	1.28e-14	1.8e-12	DNA damage sensor activity
HPO	47	4.19e-14	1.82e-12	Abnormality of the hand
HPO	24	4.28e-14	1.86e-12	Pes planus
DISEASES	80	4.6e-15	2.11e-12	Monogenic disease
HPO	23	5.33e-14	2.31e-12	Delayed skeletal maturation
HPO	10	6.1e-14	2.62e-12	Abnormality of DNA repair
HPO	28	6.15e-14	2.63e-12	Hypoplastic male external genitalia
HPO	28	6.47e-14	2.76e-12	Cardiomyopathy
Function	15	2.11e-14	2.89e-12	Exonuclease activity
HPO	57	7.12e-14	3.03e-12	Cognitive impairment
HPO	9	7.4e-14	3.13e-12	Chromosomal breakage induced by crosslinking agents
HPO	24	7.7e-14	3.25e-12	Abnormality of the curvature of the cornea
HPO	51	8.33e-14	3.51e-12	Global developmental delay
HPO	25	8.68e-14	3.64e-12	Abnormality iris morphology
HPO	39	9.64e-14	4.03e-12	Abnormal conjugate eye movement
HPO	45	1.52e-13	6.3e-12	Abnormal foot morphology
Function	12	5.08e-14	6.77e-12	Telomeric DNA binding
HPO	38	1.68e-13	6.93e-12	Strabismus
HPO	64	1.85e-13	7.64e-12	Abnormality of the digestive system
HPO	48	1.98e-13	8.13e-12	Abnormality of the upper limb
HPO	52	2.12e-13	8.69e-12	Intellectual disability
HPO	46	2.17e-13	8.85e-12	Abnormal ear morphology
HPO	44	2.22e-13	9.02e-12	Abnormality of blood and blood-forming tissues
HPO	21	2.45e-13	9.95e-12	Hypertrophic cardiomyopathy
HPO	56	2.49e-13	1.01e-11	Abnormal oral cavity morphology
HPO	46	2.6e-13	1.04e-11	Hearing abnormality
HPO	14	2.68e-13	1.07e-11	Cutaneous photosensitivity
HPO	12	2.89e-13	1.15e-11	Absent thumb
HPO	52	3.13e-13	1.24e-11	Abnormality of the vasculature
HPO	75	3.42e-13	1.36e-11	Abnormality of the musculoskeletal system
HPO	38	3.53e-13	1.39e-11	Abnormality of the forehead
HPO	21	3.55e-13	1.4e-11	Patent ductus arteriosus
HPO	45	3.86e-13	1.51e-11	Hearing impairment
HPO	79	4e-13	1.56e-11	Abnormality of the nervous system
HPO	57	4.63e-13	1.8e-11	Abnormality of the mouth
HPO	44	6.16e-13	2.39e-11	Abnormality of the vertebral column
HPO	46	6.36e-13	2.46e-11	Abnormal ear physiology
HPO	24	6.8e-13	2.63e-11	Atrial septal defect
HPO	30	8.47e-13	3.25e-11	Abnormality of toe
HPO	34	8.91e-13	3.41e-11	Abnormal cerebral ventricle morphology
WikiPathways	9	1e-12	3.56e-11	miRNAs involved in DNA damage response
HPO	22	9.81e-13	3.74e-11	Abnormal aortic morphology
HPO	23	1.1e-12	4.18e-11	Abnormality of skeletal maturation
DISEASES	10	1.42e-13	5.03e-11	Retinal cancer
HPO	61	1.35e-12	5.13e-11	Abnormality of higher mental function
HPO	55	1.49e-12	5.61e-11	Neurodevelopmental delay
HPO	26	1.59e-12	5.99e-11	Abnormal uvea morphology
HPO	38	1.6e-12	6.02e-11	Abnormality of the curvature of the vertebral column
HPO	50	1.88e-12	7.03e-11	Abnormality of the respiratory system
HPO	26	2.02e-12	7.55e-11	Epicanthus
HPO	61	2.02e-12	7.55e-11	Neurodevelopmental abnormality
HPO	57	2.49e-12	9.22e-11	Abnormal eye morphology
HPO	14	2.8e-12	1.03e-10	Short thumb
HPO	12	2.82e-12	1.04e-10	Telangiectasia of the skin
Function	10	8.92e-13	1.12e-10	Exodeoxyribonuclease activity, producing 5-phosphomonoesters
HPO	9	3.5e-12	1.29e-10	Poikiloderma
HPO	8	3.63e-12	1.33e-10	Microtia, third degree
HPO	47	3.63e-12	1.33e-10	Abnormality of eye movement
HPO	54	4.45e-12	1.62e-10	Abnormality of the ear
HPO	62	4.83e-12	1.76e-10	Abnormality of the cardiovascular system
HPO	39	5.35e-12	1.94e-10	Abnormality of the abdominal organs
HPO	8	6.22e-12	2.25e-10	Anotia
HPO	28	7.09e-12	2.55e-10	Abnormal cardiac septum morphology
HPO	9	7.35e-12	2.64e-10	Patellar aplasia
HPO	36	8.97e-12	3.21e-10	Abnormality of the urinary system physiology
HPO	36	9.8e-12	3.5e-10	Nystagmus
Function	61	3.12e-12	3.66e-10	Hydrolase activity
HPO	16	1.19e-11	4.24e-10	Craniosynostosis
DISEASES	82	1.39e-12	4.25e-10	Genetic disease
HPO	36	1.2e-11	4.26e-10	Abnormal involuntary eye movements
HPO	38	1.22e-11	4.31e-10	Abnormal reflex
DISEASES	9	1.55e-12	4.46e-10	Retinoblastoma
HPO	39	1.3e-11	4.6e-10	Abnormality of the upper urinary tract
DISEASES	15	1.94e-12	4.96e-10	Ovarian disease
HPO	39	1.49e-11	5.21e-10	Abnormal anterior eye segment morphology
Function	9	5.12e-12	5.87e-10	ATP-dependent DNA damage sensor activity
Function	10	5.47e-12	6.14e-10	DNA secondary structure binding
DISEASES	12	2.82e-12	6.82e-10	Ovarian cancer
HPO	71	2.07e-11	7.2e-10	Abnormal nervous system physiology
HPO	67	2.3e-11	7.99e-10	Abnormality of the eye
DISEASES	8	3.63e-12	8.35e-10	Xeroderma pigmentosum group G
Function	61	8.48e-12	9.3e-10	Anion binding
DISEASES	18	4.37e-12	9.57e-10	Female reproductive system disease
HPO	38	2.8e-11	9.7e-10	Abnormality of the kidney
DISEASES	8	6.22e-12	1.24e-09	Meier-Gorlin syndrome
DISEASES	26	6.75e-12	1.29e-09	Hematopoietic system disease
HPO	8	3.9e-11	1.34e-09	Breast aplasia
HPO	24	3.94e-11	1.35e-09	Vascular skin abnormality
HPO	10	3.94e-11	1.35e-09	Freckling
HPO	32	4.06e-11	1.39e-09	Abnormality of prenatal development or birth
HPO	11	4.47e-11	1.52e-09	Bone marrow hypocellularity
HPO	33	4.62e-11	1.57e-09	Abnormality of globe location
DISEASES	14	8.8e-12	1.62e-09	Female reproductive organ cancer
WikiPathways	15	7.27e-11	2.47e-09	Male infertility
HPO	11	7.46e-11	2.53e-09	Squamous cell carcinoma
HPO	34	8.03e-11	2.71e-09	Scoliosis
HPO	59	8.17e-11	2.75e-09	Abnormal eye physiology
Function	35	3.55e-11	3.8e-09	Transferase activity, transferring phosphorus-containing groups
HPO	8	1.21e-10	4.06e-09	Entropion
HPO	55	1.33e-10	4.46e-09	Abnormality of metabolism/homeostasis
HPO	13	1.44e-10	4.79e-09	Pancytopenia
DISEASES	7	3.02e-11	5.13e-09	Hereditary breast ovarian cancer syndrome
WikiPathways	15	1.73e-10	5.64e-09	Breast cancer pathway
WikiPathways	12	1.77e-10	5.64e-09	Glioblastoma signaling pathways
HPO	32	1.89e-10	6.28e-09	Abnormal renal morphology
HPO	28	1.91e-10	6.35e-09	Hyperreflexia
WikiPathways	12	2.28e-10	6.84e-09	Pyrimidine metabolism
HPO	26	2.3e-10	7.61e-09	Abnormal renal physiology
HPO	33	2.33e-10	7.67e-09	Abnormality of the liver
WikiPathways	7	2.7e-10	7.82e-09	SMC1/SMC3 role in DNA damage - Cornelia de Lange Syndrome
HPO	34	2.48e-10	8.15e-09	Failure to thrive
HPO	27	2.97e-10	9.74e-09	Ventriculomegaly
HPO	8	3.24e-10	1.06e-08	Conjunctival telangiectasia
HPO	14	3.68e-10	1.2e-08	Dry skin
DISEASES	31	7.39e-11	1.21e-08	Organ system cancer
HPO	21	4.94e-10	1.61e-08	Congenital malformation of the great arteries
HPO	31	5.04e-10	1.64e-08	Generalized abnormality of skin
Function	8	2.37e-10	2.43e-08	DNA polymerase binding
HPO	37	8.42e-10	2.71e-08	Abnormality of vision
HPO	6	8.4e-10	2.71e-08	Primary peritoneal carcinoma
HPO	15	8.99e-10	2.89e-08	Neoplasm of the skin
Function	53	2.98e-10	3e-08	Enzyme binding
HPO	27	9.54e-10	3.06e-08	Ptosis
HPO	7	9.63e-10	3.07e-08	Mandibular aplasia
Function	104	3.26e-10	3.22e-08	Ion binding
HPO	27	1.05e-09	3.35e-08	Hypertelorism
HPO	10	1.97e-09	6.27e-08	Convex nasal ridge
HPO	16	2.4e-09	7.6e-08	Neoplasm of the gastrointestinal tract
DISEASES	15	4.93e-10	7.81e-08	Reproductive organ cancer
HPO	18	2.58e-09	8.17e-08	Abnormality of cranial sutures
HPO	6	2.69e-09	8.47e-08	Flat nasal alae
HPO	7	2.79e-09	8.78e-08	Aplastic clavicle
HPO	91	2.93e-09	9.19e-08	Phenotypic abnormality
HPO	31	3.1e-09	9.68e-08	Abnormality of refraction
HPO	9	3.14e-09	9.81e-08	Neoplasm of the eye
HPO	9	3.14e-09	9.81e-08	Papilloma
DISEASES	106	7.37e-10	1.13e-07	Disease
HPO	13	3.65e-09	1.13e-07	Prematurely aged appearance
HPO	29	3.81e-09	1.18e-07	Abnormal blood vessel morphology
HPO	7	3.85e-09	1.19e-07	Abnormal fallopian tube morphology
HPO	7	3.85e-09	1.19e-07	Prostate cancer
WikiPathways	8	4.26e-09	1.19e-07	Gastric cancer network 2
DISEASES	6	8.4e-10	1.25e-07	Xeroderma pigmentosum variant type
Function	6	1.55e-09	1.39e-07	Mismatch repair complex binding
HPO	11	4.68e-09	1.43e-07	Dermal atrophy
HPO	12	4.98e-09	1.52e-07	Microtia
Function	29	1.79e-09	1.58e-07	Hydrolase activity, acting on ester bonds
HPO	14	5.37e-09	1.63e-07	Aplasia/Hypoplasia of the skin
HPO	13	5.46e-09	1.66e-07	Leukemia
